scenario_id,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated,scenario,modality_combination,missing_rate_percent,position
16,0.6167582417582418,0.6073916083420904,0.5768299919113025,0.6715800867959517,0.576571213815173,0.6682812155565773,0.6167582417582418,0.6073916083420904,0.5772552043404225,0.6710604371069664,0.57706508267327,0.6681269008419334,A_10_Head,A,10,Head
17,0.6153846153846154,0.6060114909490459,0.5749924644213784,0.673261388729529,0.5750233313291937,0.6700263159201097,0.6153846153846154,0.6060114909490459,0.5752851775755267,0.6728720293773564,0.5755655175677531,0.6699997433517334,A_10_Middle,A,10,Middle
18,0.6208791208791209,0.6103482076914495,0.5760354939930059,0.6733901876002011,0.5753717556245707,0.6701819341975863,0.6208791208791209,0.6103482076914495,0.5763780968570775,0.673031486850046,0.5758272127932409,0.6701686193575724,A_10_Tail,A,10,Tail
19,0.614010989010989,0.6051917740019195,0.577305228930417,0.6708200958323883,0.5772019234460134,0.6674692891526383,0.614010989010989,0.6051917740019195,0.5779377282852982,0.6702729821597762,0.577988854279148,0.6672886806701065,A_20_Head,A,20,Head
20,0.6195054945054945,0.6107418686912175,0.5750276451950872,0.6731374320948957,0.575051437162305,0.6698646749062273,0.6195054945054945,0.6107418686912175,0.5754742373681658,0.6727285535931334,0.5756388125667696,0.6698169498588883,A_20_Middle,A,20,Middle
21,0.6181318681318682,0.6074199179677872,0.5760918739282496,0.6735182232324252,0.5754264699186598,0.6703558652524272,0.6181318681318682,0.6074199179677872,0.5764948974803581,0.6731772385383152,0.5758478093107159,0.6703506848785611,A_20_Tail,A,20,Tail
22,0.6112637362637363,0.6045334593721691,0.5784851434671289,0.6701742481133611,0.57794652652711,0.666782506261894,0.6112637362637363,0.6045334593721691,0.5792738926484362,0.6695428131787738,0.5788798750728205,0.6665155228231521,A_30_Head,A,30,Head
23,0.6195054945054945,0.6116200866105556,0.5750191100719538,0.6723733739293442,0.5754049570982928,0.6690838456775158,0.6195054945054945,0.6116200866105556,0.5756769307408032,0.6719437038004252,0.5759905823615716,0.6690164523061418,A_30_Middle,A,30,Middle
24,0.6167582417582418,0.6060922297873078,0.575972529709503,0.6736826029242701,0.5753393205168155,0.6705372217678741,0.6167582417582418,0.6060922297873078,0.5764783382784207,0.6732889170032562,0.5760188163876696,0.670478705116888,A_30_Tail,A,30,Tail
25,0.6126373626373627,0.6063792074947681,0.5792898658089913,0.669681023956252,0.5788753775379488,0.6662292677233678,0.6126373626373627,0.6063792074947681,0.580132883758499,0.6690361346012907,0.579899767466217,0.665950344258879,A_40_Head,A,40,Head
