scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,runtime_seconds,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score,task_loss,weight_text,missing_region_weight_text,weight_audio,missing_region_weight_audio,weight_vision,missing_region_weight_vision
1,T_10_Head,T,10,0.1,Head,0.46677088737487793,0.614010989010989,0.6055272828231026,0.6227052393378624,0.5959340333938599,0.6560798425468726,0.6650485436893204,0.5760869565217391,0.6035502958579881,0.6447058823529411,0.49074074074074076,0.6811352253756261,0.7146428823471069,0.41667595505714417,0.6211692094802856,0.6692433591457527,1.3303919650696137,0.45061352848366704,0.41237908726456773,0.277716585257188,,0.2716698706956388,
2,T_10_Middle,T,10,0.1,Middle,0.46132493019104004,0.6181318681318682,0.6093411926142777,0.6264250507373307,0.6013769507408142,0.650404274464971,0.6504854368932039,0.5869565217391305,0.6153846153846154,0.6426858513189448,0.5,0.685337726523888,0.7328107357025146,0.42579326033592224,0.6168562769889832,0.6693545879077113,1.3413321408596668,0.4511497944804612,0.4076246666608994,0.27748927042057825,,0.2713609383754882,
3,T_10_Tail,T,10,0.1,Tail,0.4615471363067627,0.6195054945054945,0.6094745935423559,0.6273047367632424,0.6031544208526611,0.6463907508568811,0.6699029126213593,0.5597826086956522,0.621301775147929,0.6540284360189573,0.48699763593380613,0.6873977086743044,0.7268145084381104,0.43237781524658203,0.6207548975944519,0.6685798413217945,1.3462337098278843,0.4520914062604849,0.4217992836461406,0.2766635625280995,,0.27124503121141563,
4,T_20_Head,T,20,0.2,Head,0.4674515724182129,0.6112637362637363,0.6037374588599532,0.6213382533816832,0.5998527407646179,0.6420190075426359,0.6213592233009708,0.6086956521739131,0.606508875739645,0.628992628992629,0.49888641425389757,0.6833333333333333,0.7392274141311646,0.39762112498283386,0.6249991059303284,0.6642673222695299,1.3359523186316857,0.44244543021908384,0.40491419208735985,0.28191319867626186,,0.2756413760194457,
5,T_20_Middle,T,20,0.2,Middle,0.4626486301422119,0.6085164835164835,0.6001892648099135,0.6168776508251566,0.6048083305358887,0.6308538944104138,0.6019417475728155,0.6086956521739131,0.6124260355029586,0.6184538653366584,0.5056433408577878,0.6764705882352942,0.7747556567192078,0.3986167013645172,0.613477349281311,0.6594892164728786,1.351959215415703,0.44610644031907193,0.4055010753463071,0.2800952599287699,,0.2737982964756306,
6,T_20_Tail,T,20,0.2,Tail,0.4592783451080322,0.6002747252747253,0.5902199615472445,0.6084212734433543,0.6044611930847168,0.6366661703175405,0.616504854368932,0.5597826086956522,0.6124260355029586,0.6195121951219512,0.4790697674418605,0.672077922077922,0.7243258357048035,0.4149303436279297,0.6345840692520142,0.6564184481944845,1.3501168699054928,0.44719674911318813,0.41754202580994554,0.27912422165431405,,0.2736790218603107,
7,T_30_Head,T,30,0.3,Head,0.45943498611450195,0.6016483516483516,0.5951101737566983,0.6123519665566065,0.6086264848709106,0.6183688554481288,0.5825242718446602,0.6195652173913043,0.6035502958579881,0.6185567010309279,0.4935064935064935,0.6732673267326733,0.7918524742126465,0.37146830558776855,0.6260600686073303,0.6530629714740521,1.3517182633117004,0.4351285902092532,0.4004262809637842,0.2856477045669867,,0.2792237068620239,
8,T_30_Middle,T,30,0.3,Middle,0.45824694633483887,0.5975274725274725,0.5909674305023143,0.6076429278192631,0.6055840253829956,0.6210755161719578,0.5728155339805825,0.6304347826086957,0.5946745562130178,0.6051282051282051,0.5,0.6677740863787376,0.79408198595047,0.3727883994579315,0.6174296736717224,0.6519272693518532,1.359761500096583,0.43964915964668444,0.40352657401738073,0.2833875771215962,,0.2769632632317194,
9,T_30_Tail,T,30,0.3,Tail,0.46187400817871094,0.5947802197802198,0.5857350037708446,0.6046132841676646,0.6015705466270447,0.6305571908767619,0.5679611650485437,0.5869565217391305,0.6153846153846154,0.6062176165803109,0.4789356984478936,0.6720516962843296,0.7450998425483704,0.38568976521492004,0.6316149830818176,0.6526372247213695,1.3463994303902427,0.44037149636971223,0.41379886913418534,0.28248437361730533,,0.2771441144494763,
10,T_40_Head,T,40,0.4,Head,0.46154356002807617,0.5934065934065934,0.5859047958178109,0.6050954623218847,0.6102073192596436,0.6024262377269147,0.5194174757281553,0.6521739130434783,0.606508875739645,0.5863013698630137,0.4948453608247423,0.6765676567656765,0.8306671380996704,0.33991068601608276,0.6229879260063171,0.6445837967995262,1.3650902863387222,0.4276655777498507,0.3966317142928048,0.28950332730067807,,0.28283109822599883,
