modality_combination,missing_rate_percent,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
A,10,0.009615384615384618,0.008441313312008444,0.009312613046813042,0.024720606345747614,0.011068383852640787
A,20,0.007326007326007374,0.004769549105325861,0.007141238520165831,0.023673724861539108,0.009742279847462973
A,30,0.007326007326007374,0.004855512003129836,0.007721523052253709,0.022173799455758664,0.007239143053690593
A,40,0.016483516483516536,0.013104325048194846,0.01722519788534031,0.021059138874174432,0.006273865699768066
A,50,0.015567765567765623,0.01109241082951773,0.01703151447784727,0.01930301155910182,0.005478123823801677
A+V,10,0.006868131868131881,0.005437577390745019,0.006393542739701237,0.02343970016255233,0.010952909787495932
A+V,20,0.005494505494505549,0.0031536522236899436,0.00448722389566462,0.019983631561272253,0.008669873078664144
A+V,30,0.005494505494505512,0.003012783491255481,0.004406139372291247,0.01647000562193109,0.005917032559712728
A+V,40,0.017857142857142905,0.014538796682534957,0.015986295732019113,0.01352216194511576,0.005306084950764974
A+V,50,0.015567765567765587,0.01198458414741325,0.01409761033678473,0.010858466789166946,0.00753633181254069
V,10,0.005494505494505512,0.005706553622320865,0.005770067653941576,0.02454203334833401,0.013190805912017822
V,20,0.0027472527472527375,0.003814118101210684,0.0025179376246325935,0.02250118116606385,0.012647807598114014
V,30,-0.008241758241758212,-0.0066162514935927215,-0.008127159516400381,0.02107347517386911,0.012748340765635172
V,40,-0.008241758241758212,-0.00572049302712152,-0.008516508731294281,0.019765269892874304,0.013622423013051351
V,50,-0.009615384615384581,-0.006346244884680015,-0.010296531605074896,0.020433017016153594,0.016768614451090496
