comparison,metric,mean_delta,median_delta,ci95_low,ci95_high,probability_delta_gt_0,bootstrap_two_sided_p,bootstrap_repeats,positive_means
Clean Valid raw: TaskSpecific vs Seed2028,accuracy_gain,0.013918040293040291,0.013736263736263798,-0.004120879120879106,0.03159340659340659,0.927,0.146,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid raw: TaskSpecific vs Seed2028,macro_f1_gain,0.013064942019960923,0.013136960222709493,-0.004720650688903222,0.030066153968283486,0.927,0.146,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid raw: TaskSpecific vs Seed2028,mae_reduction,0.0002210682095625448,0.00022221094631885707,-0.0012430274760822507,0.001677745327681027,0.6123333333333333,0.7753333333333333,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid raw: TaskSpecific vs Seed2028,pearson_gain,0.00038963718717724855,0.0003961878724512702,-0.0012174817374831974,0.001964667013988353,0.6933333333333334,0.6133333333333333,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid calibrated: TaskSpecific vs Seed2028,accuracy_gain,0.013843406593406594,0.013736263736263798,-0.004120879120879106,0.03159340659340659,0.9216666666666666,0.15666666666666668,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid calibrated: TaskSpecific vs Seed2028,macro_f1_gain,0.013032436637241882,0.012974675249194212,-0.0047834827293377815,0.029906962572592354,0.9206666666666666,0.15866666666666668,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid calibrated: TaskSpecific vs Seed2028,mae_reduction,0.0004373680287272011,0.00044466925574526694,-0.0059772263976600815,0.006963114637542671,0.5596666666666666,0.8806666666666667,3000,Task-specific weighted ensemble better than seed 2028
Clean Valid calibrated: TaskSpecific vs Seed2028,pearson_gain,-0.002926374857639087,-0.002899530625829705,-0.006104682454653854,0.00035115977368711045,0.03666666666666667,0.07333333333333333,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 raw: TaskSpecific vs Seed2028,accuracy_gain,0.010183648758648758,0.01027167277167279,-0.005684523809523787,0.02570283882783885,0.902,0.196,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 raw: TaskSpecific vs Seed2028,macro_f1_gain,0.00767691016374718,0.007739588357830174,-0.007737409546695586,0.023392264055898424,0.837,0.326,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 raw: TaskSpecific vs Seed2028,mae_reduction,0.00032963127550600087,0.0003097163579257045,-0.0009448567348895846,0.0017120557852697976,0.6803333333333333,0.6393333333333333,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 raw: TaskSpecific vs Seed2028,pearson_gain,0.00017671976368061006,0.0001799094604451601,-0.0013890935727012526,0.0016360770985659582,0.5976666666666667,0.8046666666666666,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 calibrated: TaskSpecific vs Seed2028,accuracy_gain,0.010038298738298737,0.010012210012210088,-0.005925671550671636,0.026070665445665473,0.8896666666666667,0.22066666666666668,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 calibrated: TaskSpecific vs Seed2028,macro_f1_gain,0.007568509473971408,0.007613286662716046,-0.008277248799113299,0.023051899714678574,0.823,0.354,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 calibrated: TaskSpecific vs Seed2028,mae_reduction,3.919746959280372e-05,6.51667636476505e-05,-0.00632483548011059,0.006385098652870086,0.5103333333333333,0.9793333333333333,3000,Task-specific weighted ensemble better than seed 2028
Q2C2 calibrated: TaskSpecific vs Seed2028,pearson_gain,-0.0030090737121763727,-0.003022918913437478,-0.006140055080886189,0.00011428361159706709,0.030333333333333334,0.06066666666666667,3000,Task-specific weighted ensemble better than seed 2028
