scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_weighted_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_weighted_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_weighted_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_weighted_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_weighted_f1,seed_2028_cal_weighted_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
1,A_10_MG1,A,10,1,0.10534294452739595,2.107142857142857,2.107142857142857,0.6181318681318682,0.6064635793675971,0.6248858094098885,0.5883015816887984,0.6644279286198818,0.6291208791208791,0.6187985038339264,0.6362468245678724,0.6024097454130322,0.6605698367082996,0.6153846153846154,0.6064348842826486,0.6230033706464456,0.5763514462940313,0.6722178743090633,0.625,0.6138420623982245,0.6318325316926385,0.5836462670452756,0.6687286227266993,0.625,0.6153846153846154,0.6138420623982245,0.6064348842826486,0.6318325316926385,0.6230033706464456,0.5729515566079444,0.5765690906248413,0.666518456809606,0.6693076011629276
2,A_10_MG2,A,10,2,0.10534294452739595,2.1112637362637363,2.1112637362637363,0.6208791208791209,0.6094820132311837,0.6275068412012672,0.5886201220104,0.664302275663642,0.625,0.6145667004297265,0.6324574227968252,0.6027345434854646,0.6605532217547102,0.6167582417582418,0.6075327312931064,0.6242906893744347,0.5759041689459111,0.6725692235560783,0.6236263736263736,0.6124840445160985,0.6304979067762787,0.583554468441741,0.6688251026799187,0.6236263736263736,0.6167582417582418,0.6124840445160985,0.6075327312931064,0.6304979067762787,0.6242906893744347,0.572830089049871,0.5762339970751942,0.6666020984542251,0.6696551990249221
3,A_10_MG3,A,10,3,0.10534294452739595,2.1195054945054945,2.1195054945054945,0.6222527472527473,0.6107454933440889,0.6288043977173237,0.5890848446883016,0.6633444118303721,0.6263736263736264,0.6158880422791759,0.6337494914844256,0.6031626354247986,0.6602343348323936,0.6181318681318682,0.6091050583371315,0.6254828933968274,0.5764257156464098,0.6724628864336984,0.625,0.6136277172463593,0.6321665362318805,0.5839654823949376,0.6683168058660608,0.625,0.6181318681318682,0.6136277172463593,0.6091050583371315,0.6321665362318805,0.6254828933968274,0.5731652438899045,0.5765243756007199,0.6661021301674052,0.6695344132775092
4,A_20_MG1,A,20,1,0.20141871735878028,3.7513736263736264,3.7513736263736264,0.6181318681318682,0.6073837749136204,0.625439505415149,0.5867951230074351,0.6646122975077037,0.6332417582417582,0.6230669609662135,0.6400766903018684,0.6030107690123739,0.6599499157078901,0.6195054945054945,0.6103710997171725,0.6268171718933243,0.5765641512001282,0.6719586864740676,0.6236263736263736,0.6117700199145392,0.6305684869568169,0.5833764315511172,0.6684465492334176,0.6236263736263736,0.6195054945054945,0.6117700199145392,0.6103710997171725,0.6305684869568169,0.6268171718933243,0.5729586353498773,0.5765361543868432,0.6662372417545216,0.6690530639430228
5,A_20_MG2,A,20,2,0.20141871735878028,3.947802197802198,3.947802197802198,0.6222527472527473,0.6115216375669882,0.6290517978889105,0.587459020910191,0.6649134814245231,0.6304945054945055,0.6203791684596116,0.6373451250595179,0.6016205540438603,0.6628103551676234,0.6167582417582418,0.6076612067178105,0.6240571449077567,0.5760422356549527,0.6729102025179905,0.625,0.6131229615913244,0.631405190095881,0.5827793249648896,0.6698849184789168,0.625,0.6167582417582418,0.6131229615913244,0.6076612067178105,0.631405190095881,0.6240571449077567,0.572034854777976,0.575886474153907,0.6676381107964818,0.6699681661284539
6,A_20_MG3,A,20,3,0.20141871735878028,3.883241758241758,3.883241758241758,0.625,0.6143419382283094,0.6319352472441895,0.587397628862943,0.6646789942688472,0.6263736263736264,0.6164755199895505,0.633788075477592,0.6016049921553541,0.661441443844449,0.6153846153846154,0.606291959638566,0.6228474952844109,0.5759994043958384,0.6729007042329962,0.625,0.6134790739310109,0.6321497538256173,0.5826099418281089,0.6693370432718749,0.625,0.6153846153846154,0.6134790739310109,0.606291959638566,0.6321497538256173,0.6228474952844109,0.5725387353237186,0.5760607226380444,0.6671837565828094,0.6700185962102833
7,A_30_MG1,A,30,1,0.30199961759170707,5.7032967032967035,5.7032967032967035,0.6181318681318682,0.6070820332575818,0.6254991893405204,0.5869258228116311,0.664384118666258,0.6318681318681318,0.621472064634475,0.6388673733030776,0.6022549399512482,0.6613644569082922,0.6181318681318682,0.6093928904671704,0.6257968343981928,0.5764299488043064,0.672273997372976,0.6277472527472527,0.6179424614547159,0.6353509440470329,0.5826971415948846,0.6689367424973606,0.6277472527472527,0.6181318681318682,0.6179424614547159,0.6093928904671704,0.6353509440470329,0.6257968343981928,0.5723174589768925,0.576728787586666,0.6666407789722102,0.6692483102754283
8,A_30_MG2,A,30,2,0.30199961759170707,5.582417582417582,5.582417582417582,0.6236263736263736,0.6126403256856494,0.6304331759476678,0.5859226838450183,0.6652889759748014,0.6277472527472527,0.6175383073778375,0.6349324753143428,0.600367233259501,0.662342077459728,0.6222527472527473,0.614315546887983,0.6299663699412409,0.5765341012073415,0.6726110697660909,0.6222527472527473,0.6112896667550606,0.6296864908376912,0.5820116714775672,0.6697595069150794,0.6222527472527473,0.6222527472527473,0.6112896667550606,0.614315546887983,0.6296864908376912,0.6299663699412409,0.5712326170206616,0.5765477381786638,0.6675462268359702,0.6696345780859279
9,A_30_MG3,A,30,3,0.30199961759170707,5.6401098901098905,5.6401098901098905,0.6291208791208791,0.6176797158270714,0.6359015182981782,0.5873522153635929,0.6645402516012814,0.6304945054945055,0.6195649229511169,0.6371945682357895,0.6030989935478339,0.6613372023684744,0.6195054945054945,0.6103939403554904,0.6269525271917528,0.5779639472059168,0.6711510339398796,0.6263736263736264,0.6155611711669552,0.633616626015194,0.5836509891031754,0.6686122932276497,0.6263736263736264,0.6195054945054945,0.6155611711669552,0.6103939403554904,0.633616626015194,0.6269525271917528,0.5731128204467915,0.5778234043963827,0.6663909389510503,0.6681978302437975
10,A_40_MG1,A,40,1,0.4002302951742184,7.353021978021978,7.3598901098901095,0.6195054945054945,0.6086001143974047,0.6271054899735202,0.5849386697819272,0.6672116464451409,0.6263736263736264,0.6152736441512171,0.6335897795481333,0.6028620709798166,0.6640638870534563,0.6126373626373627,0.605371055467995,0.6205446614283934,0.577152352104639,0.6725979135042685,0.6181318681318682,0.6071537510535663,0.6256674979563913,0.5820207322569011,0.6709464381205487,0.6181318681318682,0.6126373626373627,0.6071537510535663,0.605371055467995,0.6256674979563913,0.6205446614283934,0.5717191843624354,0.5772348477271396,0.6686246307966833,0.6695677115473682
11,A_40_MG2,A,40,2,0.4002302951742184,7.451923076923077,7.458791208791209,0.6222527472527473,0.6123887392252793,0.6299080359334612,0.5835321344394278,0.6653749063671086,0.6263736263736264,0.6161852611481529,0.6328521016509979,0.6010435775618305,0.6630685792548344,0.6167582417582418,0.6091793540159426,0.6247235405902939,0.5753685513736455,0.672593245157373,0.6263736263736264,0.6160206668592151,0.6336558060212628,0.5803168969426726,0.6700300396730123,0.6263736263736264,0.6167582417582418,0.6160206668592151,0.6091793540159426,0.6336558060212628,0.6247235405902939,0.5702045447646534,0.5757355218469933,0.6678517822838844,0.6696563626542288
12,A_40_MG3,A,40,3,0.4002302951742184,7.355769230769231,7.361263736263736,0.6181318681318682,0.6079332687869178,0.6254186654353651,0.5863890356619607,0.6629034753710098,0.6236263736263736,0.6127033534456362,0.6302605776955982,0.6025688147356549,0.6602826131277358,0.6153846153846154,0.6079299268302089,0.6232682099352332,0.5767561111517332,0.6706303479071245,0.6236263736263736,0.6130145683235104,0.6308015887737877,0.5828031997909366,0.6676011847838043,0.6236263736263736,0.6153846153846154,0.6130145683235104,0.6079299268302089,0.6308015887737877,0.6232682099352332,0.572670818740195,0.577099183781707,0.6653695379360988,0.6676747143002353
13,A_50_MG1,A,50,1,0.512593395480767,8.767857142857142,9.29532967032967,0.6153846153846154,0.6056607464916639,0.62333021063366,0.5841959268878122,0.6652602218555425,0.6263736263736264,0.6154629023837375,0.6329037279789674,0.6017815653480344,0.6628715664402286,0.6153846153846154,0.608469971191003,0.6237332357677687,0.576269291934895,0.6716580176923247,0.6263736263736264,0.6160015832884334,0.6339812137408548,0.5811987461883833,0.6696744185755751,0.6263736263736264,0.6153846153846154,0.6160015832884334,0.608469971191003,0.6339812137408548,0.6237332357677687,0.5710256019470729,0.5766742725680981,0.6674406877188505,0.6686801934100606
14,A_50_MG2,A,50,2,0.512593395480767,8.740384615384615,9.296703296703297,0.6181318681318682,0.6083695840635391,0.6260099947153522,0.5838229306820002,0.6646614284359682,0.6167582417582418,0.6068834837960897,0.6242886595849196,0.6022258235735225,0.6626684186166383,0.603021978021978,0.5970699419816315,0.6115230158487699,0.5760211708167424,0.6720011137540658,0.6195054945054945,0.6105970909924782,0.6275264054397606,0.5810499582030288,0.66944303011479,0.6195054945054945,0.603021978021978,0.6105970909924782,0.5970699419816315,0.6275264054397606,0.6115230158487699,0.5711194534315676,0.5764627282115948,0.6671920282519819,0.6690348955649669
15,A_50_MG3,A,50,3,0.512593395480767,8.762362637362637,9.271978021978022,0.6181318681318682,0.6086995606198212,0.6262341405655216,0.5844828148505518,0.6644974816614582,0.6263736263736264,0.6148577881936711,0.6331025657066669,0.604116921671308,0.661182048023191,0.6112637362637363,0.6044295305448091,0.6197725809084269,0.5783440406219318,0.670032911282871,0.625,0.6150313292668566,0.6324993502406928,0.582853983958071,0.6682531724852928,0.625,0.6112637362637363,0.6150313292668566,0.6044295305448091,0.6324993502406928,0.6197725809084269,0.5724801171137354,0.5781788822385472,0.6660772059755474,0.6671683902711253
