comparison,metric,mean_delta,median_delta,ci95_low,ci95_high,probability_delta_gt_0,bootstrap_two_sided_p,bootstrap_repeats,positive_means
Clean Valid raw: Ensemble vs Seed2028,accuracy_gain,0.0042710622710622715,0.004120879120879106,-0.01098901098901095,0.02060439560439553,0.6706666666666666,0.6586666666666666,3000,Three-seed ensemble better than seed 2028
Clean Valid raw: Ensemble vs Seed2028,macro_f1_gain,0.002621705946690406,0.0026304695608583284,-0.01220604655165666,0.01801695456720611,0.6293333333333333,0.7413333333333333,3000,Three-seed ensemble better than seed 2028
Clean Valid raw: Ensemble vs Seed2028,mae_reduction,-0.008228343771863838,-0.008282801511632576,-0.018050448701549714,0.0017756182263731638,0.056,0.112,3000,Three-seed ensemble better than seed 2028
Clean Valid raw: Ensemble vs Seed2028,pearson_gain,-0.003813114489961203,-0.00369439297577967,-0.013370026881157545,0.005464246345638681,0.213,0.426,3000,Three-seed ensemble better than seed 2028
Clean Valid calibrated: Ensemble vs Seed2028,accuracy_gain,0.004313186813186814,0.004120879120879106,-0.010989010989011061,0.02060439560439553,0.6773333333333333,0.6453333333333333,3000,Three-seed ensemble better than seed 2028
Clean Valid calibrated: Ensemble vs Seed2028,macro_f1_gain,0.00262165641961429,0.0026734016545525985,-0.012557586492797618,0.018010648782788755,0.6363333333333333,0.7273333333333334,3000,Three-seed ensemble better than seed 2028
Clean Valid calibrated: Ensemble vs Seed2028,mae_reduction,0.003009242403704471,0.002974947021530394,-0.004194218853096923,0.009999206137714321,0.802,0.396,3000,Three-seed ensemble better than seed 2028
Clean Valid calibrated: Ensemble vs Seed2028,pearson_gain,-0.003088360777452736,-0.0030507695852753924,-0.012280464095124422,0.00623860996092982,0.24866666666666667,0.49733333333333335,3000,Three-seed ensemble better than seed 2028
Q2C2 raw: Ensemble vs Seed2028,accuracy_gain,0.008764743589743591,0.008699633699633669,-0.004579517704517688,0.022652625152625193,0.892,0.216,3000,Three-seed ensemble better than seed 2028
Q2C2 raw: Ensemble vs Seed2028,macro_f1_gain,0.005911240636978699,0.005937139992140128,-0.007290061534637768,0.01930497802822501,0.7926666666666666,0.4146666666666667,3000,Three-seed ensemble better than seed 2028
Q2C2 raw: Ensemble vs Seed2028,mae_reduction,-0.007801928753626059,-0.007683489860426274,-0.01711700752943055,0.0018993402265184008,0.049,0.098,3000,Three-seed ensemble better than seed 2028
Q2C2 raw: Ensemble vs Seed2028,pearson_gain,-0.0038273167491696767,-0.003707843972114322,-0.012868137879974388,0.004783247204262708,0.20133333333333334,0.4026666666666667,3000,Three-seed ensemble better than seed 2028
Q2C2 calibrated: Ensemble vs Seed2028,accuracy_gain,0.008725223850223849,0.008669108669108638,-0.005159493284493374,0.0227419108669109,0.8903333333333333,0.21933333333333332,3000,Three-seed ensemble better than seed 2028
Q2C2 calibrated: Ensemble vs Seed2028,macro_f1_gain,0.005854719376644948,0.005721249755786362,-0.007168633280926595,0.01931607944801956,0.8033333333333333,0.3933333333333333,3000,Three-seed ensemble better than seed 2028
Q2C2 calibrated: Ensemble vs Seed2028,mae_reduction,0.003603298980940691,0.003586317045519094,-0.0028297420895851437,0.0100272003496235,0.864,0.272,3000,Three-seed ensemble better than seed 2028
Q2C2 calibrated: Ensemble vs Seed2028,pearson_gain,-0.0031222181486448104,-0.003064793343773853,-0.01208777947474744,0.005496177416826528,0.253,0.506,3000,Three-seed ensemble better than seed 2028
