benchmark,candidate,calibration,used_for_selection,accuracy,macro_f1,mae,pearson
clean_valid,seed_2026,raw,True,0.6291208791208791,0.6169033433621594,0.5898934507967679,0.6639517968975472
clean_valid,seed_2027,raw,True,0.6277472527472527,0.617581362119397,0.6042719348487291,0.6600244325667375
clean_valid,seed_2028,raw,True,0.6195054945054945,0.6098124098124097,0.5765798228004804,0.6722288750072771
clean_valid,ensemble,raw,True,0.6236263736263736,0.6122771171713074,0.5847113778671393,0.6684641756964389
clean_valid,seed_2028,OOF,True,0.6195054945054945,0.6098124098124097,0.5765609646198022,0.6693335190264204
clean_valid,ensemble,OOF,True,0.6236263736263736,0.6122771171713074,0.5734731739222075,0.6662626503956058
clean_test,seed_2026,raw,False,0.657496561210454,0.6310147356658984,0.6379991604176644,0.6802025850857815
clean_test,seed_2027,raw,False,0.656121045392022,0.6316177226932365,0.6496556160210579,0.6851298946023325
clean_test,seed_2028,raw,False,0.6698762035763411,0.6476821466045255,0.6163750435987889,0.6832480625468479
clean_test,ensemble,raw,False,0.6657496561210454,0.6423134125245175,0.6270427160282739,0.6860285630032015
clean_test,seed_2028,global,False,0.6698762035763411,0.6476821466045255,0.6152963819961272,0.6832480625468478
clean_test,ensemble,global,False,0.6657496561210454,0.6423134125245175,0.615454095142853,0.6860285630032015
Q2C_taskmatched_AV,seed_2026,raw,False,0.6211843711843712,0.610499273766134,0.5885622883786394,0.6623985484276892
Q2C_taskmatched_AV,seed_2027,raw,False,0.6279304029304029,0.6167418624515645,0.6058768435061815,0.660819077536776
Q2C_taskmatched_AV,seed_2028,raw,False,0.6148656898656899,0.6066435071949124,0.5764771383110165,0.6718803439925747
Q2C_taskmatched_AV,ensemble,raw,False,0.622008547008547,0.6112015145068092,0.5845087189048431,0.6678939480617787
Q2C_taskmatched_AV,seed_2028,OOF,False,0.6148656898656899,0.6066435071949124,0.5767658250236523,0.6690335219237128
Q2C_taskmatched_AV,ensemble,OOF,False,0.622008547008547,0.6112015145068092,0.5733873939943771,0.6657487991587979
Q2C2_LocalMultiGap,seed_2026,raw,True,0.6211843711843712,0.6104390879099378,0.5881461019885882,0.6628594608269816
Q2C2_LocalMultiGap,seed_2027,raw,True,0.6275946275946276,0.6167133171594029,0.6052254859148838,0.6613994822124741
Q2C2_LocalMultiGap,seed_2028,raw,True,0.6140720390720391,0.6060549376771093,0.5763042371629103,0.6720929511659574
Q2C2_LocalMultiGap,ensemble,raw,True,0.6227106227106227,0.6118327527636157,0.5840868177472345,0.6682966832379376
Q2C2_LocalMultiGap,seed_2028,OOF,True,0.6140720390720391,0.6060549376771093,0.5767102880303767,0.6692421650907736
Q2C2_LocalMultiGap,ensemble,OOF,True,0.6227106227106227,0.6118327527636157,0.5730727480697465,0.6661477274745424
