candidate,a,b,fit_mae,fit_pearson,fold
ensemble,0.781,0.016006661613782253,0.5618137229414057,0.6626149977515022,0
ensemble,0.8180000000000001,-0.018508605837821976,0.5672125160053697,0.6732614680790784,1
ensemble,0.8650000000000001,0.010471468309561374,0.5770865165188073,0.6709295815539944,2
ensemble,0.8150000000000001,9.521732727685306e-05,0.5719708467708989,0.6638548180238106,3
ensemble,0.796,0.004153983831405597,0.5738026042601393,0.6679016908854288,4
seed_2028,0.8620000000000001,0.018589584469795223,0.56388214003753,0.6667988941965459,0
seed_2028,0.8999999999999999,-0.04062499999999991,0.5667925833682834,0.6805437795685713,1
seed_2028,0.954,-0.0045729848146438545,0.5781774605330323,0.67687967247658,2
seed_2028,0.9049999999999999,-0.022438491880893696,0.5762956831125002,0.6663589419514349,3
seed_2028,0.8690000000000001,-0.005128671646118299,0.5764107561367044,0.669884931311342,4
