modality_combination,missing_rate_percent,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
A,10,0.10534294452739595,2.1126373626373627,2.1126373626373627,0.608058608058608,0.6003711598786587,0.6156037994952162,0.5871347258474692,0.6471957750381484,0.6204212454212454,0.6088970286476232,0.6270656827761597,0.5886688494625,0.6640248720379652,0.608058608058608,0.6003711598786587,0.6156037994952162,0.5864789238301389,0.6461339387562623,0.6204212454212454,0.6088970286476232,0.6270656827761597,0.5737087490423258,0.6622710357034358
A,20,0.20141871735878028,3.860805860805861,3.860805860805861,0.6126373626373627,0.6059289680410064,0.6202123768027882,0.5852874099812556,0.6491986358473074,0.6217948717948718,0.611082450236306,0.6288088501827497,0.587217257593523,0.6647349244003581,0.6126373626373627,0.6059289680410064,0.6202123768027882,0.5857355672045724,0.6480895892355858,0.6217948717948718,0.611082450236306,0.6288088501827497,0.5724327478353138,0.6630115951301822
A,30,0.30199961759170707,5.641941391941391,5.641941391941391,0.6066849816849816,0.6009838632304073,0.6144734409836922,0.5830001548792307,0.6506643732622942,0.6236263736263736,0.6124673582567676,0.6306112945287888,0.5867335740067475,0.6647377820807803,0.6066849816849816,0.6009838632304073,0.6144734409836922,0.5852801690323229,0.6494687482906895,0.6236263736263736,0.6124673582567676,0.6306112945287888,0.5721474960265688,0.6629915482773261
A,40,0.4002302951742183,7.386904761904762,7.393315018315018,0.608058608058608,0.6036743863949613,0.6156299075122792,0.5826666250538368,0.6514898380176195,0.61996336996337,0.6096407074698672,0.6274773971141155,0.5849532799611051,0.6651633427277531,0.608058608058608,0.6036743863949613,0.6156299075122792,0.5866252899304195,0.6502263059241574,0.61996336996337,0.6096407074698672,0.6274773971141155,0.570791733789302,0.6634148267851542
A,50,0.512593395480767,8.756868131868131,9.288003663003662,0.5989010989010989,0.5967523290845874,0.6058860813177468,0.5820736049336719,0.6522553402776669,0.6172161172161172,0.6075766303916748,0.6251914486381779,0.5841672241401213,0.6648063773176562,0.5989010989010989,0.5967523290845874,0.6058860813177468,0.5874424268135002,0.65094366906071,0.6172161172161172,0.6075766303916748,0.6251914486381779,0.5704406563053964,0.6630870102480486
A+V,10,0.10534294452739595,2.110805860805861,2.110805860805861,0.6098901098901099,0.6021318188802299,0.6174778235965134,0.5853770383098077,0.6501451974176785,0.6217948717948718,0.6105310186552213,0.6283718817704683,0.5891452636842653,0.6635939824210988,0.6098901098901099,0.6021318188802299,0.6174778235965134,0.5839124102696176,0.6491114613540245,0.6217948717948718,0.6105310186552213,0.6283718817704683,0.5741807410469749,0.6618491597633629
A+V,20,0.20141871735878028,3.8873626373626373,3.8873626373626373,0.6071428571428571,0.6007821458210051,0.6156639533378695,0.583489589386316,0.6525134231026146,0.6217948717948718,0.6108038473538692,0.6281608244790414,0.5880630970642571,0.6627267918426094,0.6071428571428571,0.6007821458210051,0.6156639533378695,0.5828867610347195,0.6514273610627672,0.6217948717948718,0.6108038473538692,0.6281608244790414,0.5735788958502775,0.6610252659972985
A+V,30,0.30199961759170707,5.610805860805861,5.610805860805861,0.6048534798534798,0.6004974000520337,0.6136752708136793,0.58045958402147,0.6567869369637425,0.6231684981684982,0.6130541301096293,0.6296503839556439,0.5885471874581917,0.6617327809805454,0.6048534798534798,0.6004974000520337,0.6136752708136793,0.5804490561456906,0.6556695337224628,0.6231684981684982,0.6130541301096293,0.6296503839556439,0.5741939533849011,0.6600885198854592
A+V,40,0.4002302951742183,7.3809523809523805,7.3901098901098905,0.5993589743589743,0.5959738852372615,0.6091790578886228,0.5803976158232808,0.658225925934927,0.6163003663003663,0.6080510464530406,0.6231946626403663,0.5887155675230337,0.6605719301235675,0.5993589743589743,0.5959738852372615,0.6091790578886228,0.5808010638476291,0.6570749367857438,0.6163003663003663,0.6080510464530406,0.6231946626403663,0.5737958369638784,0.6589012462469263
A+V,50,0.512593395480767,8.824633699633699,9.354395604395604,0.5961538461538461,0.5941696029206781,0.6063516813085206,0.5822032302167717,0.6595528758733293,0.6108058608058607,0.6042648074962272,0.6183537886383058,0.5886254074195256,0.6585748362902815,0.5961538461538461,0.5941696029206781,0.6063516813085206,0.5829604768016727,0.6583622494766151,0.6108058608058607,0.6042648074962272,0.6183537886383058,0.5750191202977528,0.6569089300540542
V,10,0.10534294452739595,2.1382783882783882,2.1382783882783882,0.6121794871794872,0.6020729957900968,0.6192399060266774,0.5892167682435376,0.6485115496341384,0.6277472527472527,0.6151555642735765,0.6325878801634738,0.5892133285042458,0.6638632411543861,0.6121794871794872,0.6020729957900968,0.6192399060266774,0.5862040687810371,0.6475177653292956,0.6277472527472527,0.6151555642735765,0.6325878801634738,0.5745319397820112,0.6621392238134668
V,20,0.20141871735878028,3.899725274725275,3.899725274725275,0.6163003663003663,0.6066135949833603,0.6238821293283746,0.5886806927471261,0.650721037786189,0.6268315018315018,0.6145626993510732,0.6318540234639761,0.5893266641981764,0.6630243577768552,0.6163003663003663,0.6066135949833603,0.6238821293283746,0.5850463547721341,0.6497321104510426,0.6268315018315018,0.6145626993510732,0.6318540234639761,0.5749985758786127,0.6612826644553838
V,30,0.30199961759170707,5.638736263736264,5.638736263736264,0.6217948717948718,0.6110751592082594,0.6292898041224133,0.588891363972218,0.6520456310948614,0.625,0.6130520016348349,0.6301870863542142,0.5891979426732321,0.6626652840081246,0.6217948717948718,0.6110751592082594,0.6292898041224133,0.5843230736255919,0.6511180593207132,0.625,0.6130520016348349,0.6301870863542142,0.5751939324227882,0.6609784146482167
V,40,0.4002302951742183,7.34478021978022,7.360347985347985,0.6213369963369964,0.6103071672186474,0.6290178646762351,0.5910203111572908,0.6522271083506738,0.6213369963369964,0.608731522473946,0.6268182411897337,0.5905085309398371,0.6617488574186838,0.6213369963369964,0.6103071672186474,0.6290178646762351,0.5855844139423999,0.651354293853637,0.6213369963369964,0.608731522473946,0.6268182411897337,0.576400256469027,0.6600619727705506
V,50,0.512593395480767,8.758241758241759,9.28617216117216,0.6227106227106227,0.6115035291436932,0.6306797199754215,0.5932779573518169,0.6517882268003734,0.61996336996337,0.6080891877762193,0.6249576968400669,0.5891083552000614,0.6612362781584752,0.6227106227106227,0.6115035291436932,0.6306797199754215,0.5869420383883701,0.6509045609765858,0.61996336996337,0.6080891877762193,0.6249576968400669,0.5758234629364677,0.6595567360629734
