comparison,metric,mean_delta,median_delta,ci95_low,ci95_high,probability_delta_gt_0,bootstrap_two_sided_p,bootstrap_repeats,positive_means
Clean valid raw,accuracy_gain,0.021707875457875454,0.0219780219780219,0.0013736263736263687,0.04120879120879117,0.98,0.04,3000,Q2D-R2 better than Q2B
Clean valid raw,macro_f1_gain,0.01934062708904746,0.019359356750125623,-0.0010144675445974242,0.039596048715273634,0.9693333333333334,0.06133333333333333,3000,Q2D-R2 better than Q2B
Clean valid raw,mae_reduction,-7.708393648648929e-05,-4.76359420425454e-05,-0.019547435678132268,0.019125249245009582,0.49833333333333335,0.9966666666666667,3000,Q2D-R2 better than Q2B
Clean valid raw,pearson_gain,0.017290289398577085,0.017138321347461183,-0.0005000824314696835,0.035291508255022655,0.9706666666666667,0.058666666666666666,3000,Q2D-R2 better than Q2B
Clean valid OOF-calibrated,accuracy_gain,0.022340201465201465,0.02197802197802201,0.0027472527472527375,0.04258241758241754,0.9833333333333333,0.03333333333333333,3000,Q2D-R2 better than Q2B
Clean valid OOF-calibrated,macro_f1_gain,0.019973571673873005,0.020098714774338777,-0.0006073895117574749,0.04092386050015178,0.9723333333333334,0.05533333333333333,3000,Q2D-R2 better than Q2B
Clean valid OOF-calibrated,mae_reduction,0.0134861916657544,0.013491127755083543,0.00028803120198356893,0.027107113092423297,0.977,0.046,3000,Q2D-R2 better than Q2B
Clean valid OOF-calibrated,pearson_gain,0.01700072616153143,0.017121893902574237,-0.0005763183207649648,0.03487316841653621,0.97,0.06,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap raw,accuracy_gain,0.011548097273097274,0.0113400488400488,-0.0037851037851037717,0.02701541514041516,0.93,0.14,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap raw,macro_f1_gain,0.007360653601691339,0.007165935414438718,-0.008263000327085332,0.022699950310619554,0.8336666666666667,0.33266666666666667,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap raw,mae_reduction,-0.0024834358360947377,-0.0024812034835017815,-0.022906711365531733,0.01749355012876168,0.4036666666666667,0.8073333333333333,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap raw,pearson_gain,0.012407319401174637,0.01226370287735884,-0.003122899605415616,0.029002807887883293,0.943,0.114,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap OOF-calibrated,accuracy_gain,0.011542979242979244,0.011538461538461553,-0.0035126678876678742,0.027656440781440795,0.9276666666666666,0.14466666666666667,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap OOF-calibrated,macro_f1_gain,0.007406043578959703,0.007375866346110871,-0.007861151318886808,0.023336321586812665,0.8266666666666667,0.3466666666666667,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap OOF-calibrated,mae_reduction,0.010799164590444043,0.01080187831712437,-0.001448513095210599,0.022953641872848804,0.954,0.092,3000,Q2D-R2 better than Q2B
Q2C2 Local-MultiGap OOF-calibrated,pearson_gain,0.011908786760178853,0.012041177961461702,-0.003619515805767101,0.028587492181738894,0.9293333333333333,0.14133333333333334,3000,Q2D-R2 better than Q2B
