model,a,b,fit_mae,fit_pearson,fold
Q2B,0.94,-0.046646316647529606,0.572218976674211,0.6490624519048349,0
Q2B,0.9770000000000001,-0.08755096435546872,0.5867469017155392,0.6488947838910405,1
Q2B,0.9670000000000001,-0.03947881281375887,0.5982364157563224,0.6422952590486569,2
Q2B,0.9550000000000001,-0.05635954320430757,0.5834642098504111,0.6491103721799639,3
Q2B,0.935,-0.0481282045841217,0.5896244358703571,0.6420644121148874,4
Q2D_R2,0.775,0.01837070482969288,0.5614632050282357,0.6585979340734827,0
Q2D_R2,0.81,-0.013011886477470397,0.5690226512891321,0.6670608110500171,1
Q2D_R2,0.8440000000000001,0.015146919190883651,0.5803942560950915,0.6631251718331191,2
Q2D_R2,0.799,0.009834133148193328,0.5730192268033788,0.658804064293914,3
Q2D_R2,0.774,0.016622772455215463,0.5749975244988708,0.6637582028158262,4
