dataset,model,calibrated,accuracy,macro_f1,mae,pearson
clean_valid,Q2B,raw,0.6071428571428571,0.5972587605981435,0.5899539102114492,0.6464784939503869
clean_valid,Q2B,OOF,0.6071428571428571,0.5972587605981435,0.5876024336061635,0.6454615301013573
clean_test,Q2B,raw,0.6478679504814305,0.6210943512971854,0.6364571502152958,0.6604216828306496
clean_test,Q2B,global,0.6478679504814305,0.6210943512971854,0.6328248861294338,0.6604216828306497
Q2C2_LocalMultiGap,Q2B,raw,0.6097374847374848,0.6031342154440614,0.5855451114616733,0.6503246819844395
Q2C2_LocalMultiGap,Q2B,OOF,0.6097374847374848,0.6031342154440614,0.5847114729613211,0.6492590948435563
clean_valid,Q2D_R2,raw,0.6291208791208791,0.6169033433621594,0.5898934507967679,0.6639517968975472
clean_valid,Q2D_R2,OOF,0.6291208791208791,0.6169033433621594,0.574294216123256,0.6622023088611291
clean_test,Q2D_R2,raw,0.657496561210454,0.6310147356658984,0.6379991604176644,0.6802025850857815
clean_test,Q2D_R2,global,0.657496561210454,0.6310147356658984,0.6217480691418851,0.6802025850857815
Q2C2_LocalMultiGap,Q2D_R2,raw,0.6211843711843712,0.6104390879099378,0.5881461019885882,0.6628594608269816
Q2C2_LocalMultiGap,Q2D_R2,OOF,0.6211843711843712,0.6104390879099378,0.5738158732021066,0.6611505412645133
