sample_order,sample_id,source_file,content_length,missing_detection_length,terminal_attended_index,terminal_audio_all_zero,terminal_vision_all_zero,terminal_excluded_from_missing_detection,mask_source_final,has_explicit_mask,audio_zero_candidate_count,vision_zero_candidate_count,joint_zero_candidate_count,audio_zero_candidate_segments,vision_zero_candidate_segments,joint_zero_candidate_segments,final_audio_missing_count,final_vision_missing_count,model_audio_missing_rate,model_vision_missing_rate,audited_audio_missing_rate,audited_vision_missing_rate,final_audio_missing_segments,final_vision_missing_segments,keys_used
1,附件3_01,附件3_01.pkl,8,7,7,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,1,1,1,"[[0, 0]]","[[0, 0]]","[[0, 0]]",1,1,0.125,0.125,0.14285714285714285,0.14285714285714285,"[[0, 0]]","[[0, 0]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
2,附件3_02,附件3_02.pkl,30,29,29,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,6,6,6,"[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10]]","[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10]]","[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10]]",6,6,0.2,0.2,0.20689655172413793,0.20689655172413793,"[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10]]","[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
3,附件3_03,附件3_03.pkl,34,33,33,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,6,10,6,"[[0, 0], [6, 6], [16, 16], [20, 20], [23, 23], [31, 31]]","[[0, 0], [6, 6], [16, 16], [20, 21], [23, 26], [31, 31]]","[[0, 0], [6, 6], [16, 16], [20, 20], [23, 23], [31, 31]]",6,9,0.17647058823529413,0.2647058823529412,0.18181818181818182,0.2727272727272727,"[[0, 0], [6, 6], [16, 16], [20, 20], [23, 23], [31, 31]]","[[0, 0], [6, 6], [16, 16], [20, 20], [23, 26], [31, 31]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
4,附件3_04,附件3_04.pkl,33,32,32,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,3,3,3,"[[0, 0], [6, 6], [8, 8]]","[[0, 0], [6, 6], [8, 8]]","[[0, 0], [6, 6], [8, 8]]",3,3,0.09090909090909091,0.09090909090909091,0.09375,0.09375,"[[0, 0], [6, 6], [8, 8]]","[[0, 0], [6, 6], [8, 8]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
5,附件3_05,附件3_05.pkl,14,13,13,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,1,1,1,"[[0, 0]]","[[0, 0]]","[[0, 0]]",1,1,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.07692307692307693,"[[0, 0]]","[[0, 0]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
6,附件3_06,附件3_06.pkl,27,26,26,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,4,4,4,"[[0, 0], [14, 14], [17, 17], [25, 25]]","[[0, 0], [14, 14], [17, 17], [25, 25]]","[[0, 0], [14, 14], [17, 17], [25, 25]]",4,4,0.14814814814814814,0.14814814814814814,0.15384615384615385,0.15384615384615385,"[[0, 0], [14, 14], [17, 17], [25, 25]]","[[0, 0], [14, 14], [17, 17], [25, 25]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
7,附件3_07,附件3_07.pkl,23,22,22,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,4,4,4,"[[0, 0], [10, 10], [12, 12], [14, 14]]","[[0, 0], [10, 10], [12, 12], [14, 14]]","[[0, 0], [10, 10], [12, 12], [14, 14]]",4,4,0.17391304347826086,0.17391304347826086,0.18181818181818182,0.18181818181818182,"[[0, 0], [10, 10], [12, 12], [14, 14]]","[[0, 0], [10, 10], [12, 12], [14, 14]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
8,附件3_08,附件3_08.pkl,17,16,16,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,3,3,3,"[[0, 0], [9, 10]]","[[0, 0], [9, 10]]","[[0, 0], [9, 10]]",3,3,0.17647058823529413,0.17647058823529413,0.1875,0.1875,"[[0, 0], [9, 10]]","[[0, 0], [9, 10]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
9,附件3_09,附件3_09.pkl,16,15,15,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,3,3,3,"[[0, 0], [3, 4]]","[[0, 0], [3, 4]]","[[0, 0], [3, 4]]",3,3,0.1875,0.1875,0.2,0.2,"[[0, 0], [3, 4]]","[[0, 0], [3, 4]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
10,附件3_10,附件3_10.pkl,8,7,7,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,1,1,1,"[[0, 0]]","[[0, 0]]","[[0, 0]]",1,1,0.125,0.125,0.14285714285714285,0.14285714285714285,"[[0, 0]]","[[0, 0]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
11,附件3_11,附件3_11.pkl,16,15,15,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,5,5,5,"[[0, 0], [4, 5], [7, 7], [14, 14]]","[[0, 0], [4, 5], [7, 7], [14, 14]]","[[0, 0], [4, 5], [7, 7], [14, 14]]",5,5,0.3125,0.3125,0.3333333333333333,0.3333333333333333,"[[0, 0], [4, 5], [7, 7], [14, 14]]","[[0, 0], [4, 5], [7, 7], [14, 14]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
12,附件3_12,附件3_12.pkl,15,14,14,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,3,3,3,"[[0, 0], [5, 5], [13, 13]]","[[0, 0], [5, 5], [13, 13]]","[[0, 0], [5, 5], [13, 13]]",3,3,0.2,0.2,0.21428571428571427,0.21428571428571427,"[[0, 0], [5, 5], [13, 13]]","[[0, 0], [5, 5], [13, 13]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
13,附件3_13,附件3_13.pkl,21,20,20,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,3,3,3,"[[0, 0], [5, 5], [14, 14]]","[[0, 0], [5, 5], [14, 14]]","[[0, 0], [5, 5], [14, 14]]",3,3,0.14285714285714285,0.14285714285714285,0.15,0.15,"[[0, 0], [5, 5], [14, 14]]","[[0, 0], [5, 5], [14, 14]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
14,附件3_14,附件3_14.pkl,25,24,24,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,3,3,3,"[[0, 0], [21, 22]]","[[0, 0], [21, 22]]","[[0, 0], [21, 22]]",3,3,0.12,0.12,0.125,0.125,"[[0, 0], [21, 22]]","[[0, 0], [21, 22]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
15,附件3_15,附件3_15.pkl,29,28,28,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,4,4,4,"[[0, 0], [2, 2], [6, 6], [18, 18]]","[[0, 0], [2, 2], [6, 6], [18, 18]]","[[0, 0], [2, 2], [6, 6], [18, 18]]",4,4,0.13793103448275862,0.13793103448275862,0.14285714285714285,0.14285714285714285,"[[0, 0], [2, 2], [6, 6], [18, 18]]","[[0, 0], [2, 2], [6, 6], [18, 18]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
16,附件3_16,附件3_16.pkl,36,35,35,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,5,5,5,"[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25]]","[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25]]","[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25]]",5,5,0.1388888888888889,0.1388888888888889,0.14285714285714285,0.14285714285714285,"[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25]]","[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
17,附件3_17,附件3_17.pkl,24,23,23,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,9,9,9,"[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21]]","[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21]]","[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21]]",9,9,0.375,0.375,0.391304347826087,0.391304347826087,"[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21]]","[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
18,附件3_18,附件3_18.pkl,19,18,18,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,4,4,4,"[[0, 0], [2, 3], [5, 5]]","[[0, 0], [2, 3], [5, 5]]","[[0, 0], [2, 3], [5, 5]]",4,4,0.21052631578947367,0.21052631578947367,0.2222222222222222,0.2222222222222222,"[[0, 0], [2, 3], [5, 5]]","[[0, 0], [2, 3], [5, 5]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
19,附件3_19,附件3_19.pkl,26,25,25,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,8,8,8,"[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21]]","[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21]]","[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21]]",8,8,0.3076923076923077,0.3076923076923077,0.32,0.32,"[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21]]","[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
20,附件3_20,附件3_20.pkl,50,49,49,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,15,15,15,"[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 48]]","[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 48]]","[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 48]]",15,15,0.3,0.3,0.30612244897959184,0.30612244897959184,"[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 48]]","[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 48]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
21,附件3_21,附件3_21.pkl,11,10,10,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,4,4,4,"[[0, 0], [2, 2], [4, 4], [8, 8]]","[[0, 0], [2, 2], [4, 4], [8, 8]]","[[0, 0], [2, 2], [4, 4], [8, 8]]",4,4,0.36363636363636365,0.36363636363636365,0.4,0.4,"[[0, 0], [2, 2], [4, 4], [8, 8]]","[[0, 0], [2, 2], [4, 4], [8, 8]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
22,附件3_22,附件3_22.pkl,19,18,18,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,5,5,5,"[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16]]","[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16]]","[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16]]",5,5,0.2631578947368421,0.2631578947368421,0.2777777777777778,0.2777777777777778,"[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16]]","[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
23,附件3_23,附件3_23.pkl,15,14,14,True,True,True,derived_q2a_terminal_aware_because_no_explicit_mask,False,5,5,5,"[[0, 0], [6, 6], [10, 12]]","[[0, 0], [6, 6], [10, 12]]","[[0, 0], [6, 6], [10, 12]]",5,5,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.35714285714285715,"[[0, 0], [6, 6], [10, 12]]","[[0, 0], [6, 6], [10, 12]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
