sample_id,pkl_path,video_path,pair_status,pair_method,candidate_count
01,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\01.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,PASS,exact_key:01,1
02,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\02.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,PASS,exact_key:02,1
03,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\03.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,PASS,exact_key:03,1
04,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\04.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,PASS,exact_key:04,1
05,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\05.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,PASS,exact_key:05,1
06,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\06.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,PASS,exact_key:06,1
07,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\07.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,PASS,exact_key:07,1
08,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\08.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,PASS,exact_key:08,1
09,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\09.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,PASS,exact_key:09,1
10,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\10.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,PASS,exact_key:10,1
