sample_index,sample_id,baseline,cls_efficiency_residual,reg_efficiency_residual
0,-UacrmKiTn4$_$7,zero,0.0,5.551115123125783e-17
1,-qDkUB0GgYY$_$5,zero,1.6653345369377348e-16,1.3877787807814457e-17
2,0utROiKxejc$_$1,zero,1.1102230246251565e-16,2.7755575615628914e-17
3,0utROiKxejc$_$4,zero,8.881784197001252e-16,4.440892098500626e-16
4,0y022OlZ3W0$_$3,zero,0.0,0.0
5,0y022OlZ3W0$_$5,zero,8.881784197001252e-16,2.220446049250313e-16
6,0y022OlZ3W0$_$8,zero,2.220446049250313e-16,0.0
7,101787$_$11,zero,4.440892098500626e-16,0.0
8,101787$_$13,zero,2.220446049250313e-16,1.1102230246251565e-16
9,101787$_$1,zero,0.0,0.0
10,101787$_$5,zero,8.881784197001252e-16,0.0
11,101787$_$7,zero,4.440892098500626e-16,0.0
12,101787$_$9,zero,0.0,0.0
13,102408$_$2,zero,0.0,0.0
14,102408$_$5,zero,2.220446049250313e-16,0.0
15,102408$_$9,zero,0.0,3.3306690738754696e-16
16,102858$_$20,zero,8.881784197001252e-16,2.220446049250313e-16
17,102858$_$21,zero,8.881784197001252e-16,2.220446049250313e-16
18,102858$_$1,zero,0.0,0.0
19,102858$_$0,zero,5.551115123125783e-17,0.0
20,102858$_$4,zero,0.0,2.7755575615628914e-17
21,102858$_$6,zero,0.0,1.1102230246251565e-16
22,102858$_$10,zero,0.0,0.0
23,102858$_$17,zero,0.0,0.0
24,102858$_$19,zero,0.0,0.0
25,112433$_$10,zero,0.0,0.0
26,112433$_$3,zero,0.0,0.0
27,112433$_$7,zero,0.0,2.220446049250313e-16
28,112433$_$6,zero,0.0,0.0
29,117tQqLjza4$_$6,zero,0.0,2.7755575615628914e-17
30,11j7EfglCAs$_$2,zero,0.0,0.0
31,121128$_$10,zero,0.0,0.0
32,121128$_$1,zero,0.0,5.551115123125783e-17
33,121128$_$0,zero,0.0,0.0
34,121128$_$5,zero,4.440892098500626e-16,0.0
35,125344$_$0,zero,8.881784197001252e-16,2.220446049250313e-16
36,125676$_$0,zero,1.1102230246251565e-16,0.0
37,125676$_$4,zero,0.0,0.0
38,128059$_$11,zero,0.0,4.440892098500626e-16
39,128059$_$12,zero,0.0,0.0
40,128059$_$2,zero,4.440892098500626e-16,0.0
41,128059$_$7,zero,1.1102230246251565e-16,0.0
42,128059$_$6,zero,0.0,0.0
43,128059$_$9,zero,0.0,2.220446049250313e-16
44,128763$_$12,zero,0.0,1.1102230246251565e-16
45,128763$_$3,zero,8.881784197001252e-16,0.0
46,128763$_$2,zero,0.0,0.0
47,128763$_$5,zero,0.0,0.0
48,128763$_$7,zero,8.881784197001252e-16,0.0
49,128763$_$8,zero,8.881784197001252e-16,0.0
50,130456$_$11,zero,0.0,2.220446049250313e-16
51,130456$_$3,zero,0.0,0.0
52,130456$_$5,zero,8.881784197001252e-16,0.0
53,130456$_$4,zero,0.0,0.0
54,130456$_$7,zero,0.0,0.0
55,130456$_$6,zero,4.440892098500626e-16,0.0
56,188343$_$13,zero,2.220446049250313e-16,0.0
57,188343$_$12,zero,0.0,0.0
58,188343$_$5,zero,8.881784197001252e-16,2.220446049250313e-16
59,188343$_$9,zero,0.0,0.0
60,188343$_$8,zero,8.881784197001252e-16,0.0
61,1HK7Nea0PFo$_$1,zero,0.0,0.0
62,216097$_$1,zero,0.0,0.0
63,216097$_$2,zero,0.0,5.551115123125783e-17
64,216097$_$5,zero,2.220446049250313e-16,0.0
65,216097$_$4,zero,0.0,2.220446049250313e-16
66,216097$_$7,zero,0.0,5.551115123125783e-17
67,216097$_$8,zero,0.0,2.220446049250313e-16
68,223431$_$11,zero,8.881784197001252e-16,0.0
69,223431$_$10,zero,2.220446049250313e-16,2.7755575615628914e-17
70,223431$_$13,zero,0.0,0.0
71,223431$_$0,zero,0.0,0.0
72,223431$_$5,zero,0.0,0.0
73,225770$_$3,zero,8.881784197001252e-16,0.0
74,225770$_$5,zero,0.0,0.0
75,225770$_$4,zero,0.0,1.1102230246251565e-16
76,225770$_$6,zero,0.0,1.1102230246251565e-16
77,236021$_$12,zero,0.0,0.0
78,236021$_$1,zero,0.0,0.0
79,236021$_$3,zero,0.0,4.440892098500626e-16
80,236021$_$2,zero,0.0,0.0
81,236021$_$5,zero,0.0,2.220446049250313e-16
82,236021$_$4,zero,8.881784197001252e-16,0.0
83,237009$_$11,zero,0.0,0.0
84,237009$_$12,zero,8.881784197001252e-16,0.0
85,237009$_$4,zero,2.220446049250313e-16,2.7755575615628914e-17
86,237009$_$7,zero,0.0,4.440892098500626e-16
87,237009$_$9,zero,0.0,2.220446049250313e-16
88,241629$_$10,zero,0.0,4.440892098500626e-16
89,241629$_$0,zero,0.0,0.0
90,241629$_$3,zero,0.0,1.1102230246251565e-16
91,241629$_$5,zero,0.0,2.220446049250313e-16
92,241629$_$8,zero,0.0,0.0
93,243646$_$11,zero,8.881784197001252e-16,2.220446049250313e-16
94,243646$_$12,zero,8.881784197001252e-16,0.0
95,243646$_$9,zero,0.0,0.0
96,243646$_$8,zero,0.0,0.0
97,247318$_$12,zero,0.0,2.220446049250313e-16
98,247318$_$1,zero,0.0,0.0
99,247318$_$3,zero,0.0,0.0
100,247318$_$2,zero,0.0,0.0
101,247318$_$5,zero,0.0,0.0
102,247318$_$7,zero,0.0,4.440892098500626e-16
103,247318$_$6,zero,0.0,0.0
104,252998$_$1,zero,0.0,0.0
105,252998$_$0,zero,2.220446049250313e-16,0.0
106,252998$_$5,zero,8.881784197001252e-16,4.440892098500626e-16
107,252998$_$4,zero,0.0,2.220446049250313e-16
108,252998$_$7,zero,5.551115123125783e-17,1.1102230246251565e-16
109,252998$_$8,zero,0.0,0.0
110,257247$_$10,zero,0.0,2.220446049250313e-16
111,257247$_$12,zero,0.0,0.0
112,257247$_$2,zero,0.0,0.0
113,258654$_$1,zero,0.0,4.440892098500626e-16
114,258654$_$3,zero,8.881784197001252e-16,0.0
115,258654$_$4,zero,2.220446049250313e-16,0.0
116,266791$_$24,zero,8.881784197001252e-16,0.0
117,266791$_$20,zero,0.0,0.0
118,266791$_$21,zero,8.881784197001252e-16,0.0
119,266791$_$23,zero,1.1102230246251565e-16,1.1102230246251565e-16
120,266791$_$29,zero,0.0,5.551115123125783e-17
121,266791$_$3,zero,0.0,0.0
122,266791$_$5,zero,8.881784197001252e-16,2.220446049250313e-16
123,266791$_$4,zero,0.0,0.0
124,266791$_$6,zero,2.220446049250313e-16,0.0
125,266791$_$8,zero,0.0,1.1102230246251565e-16
126,266791$_$11,zero,0.0,5.551115123125783e-17
127,266791$_$14,zero,0.0,1.1102230246251565e-16
128,270254$_$23,zero,8.881784197001252e-16,2.220446049250313e-16
129,270254$_$0,zero,1.6653345369377348e-16,0.0
130,270254$_$6,zero,0.0,1.1102230246251565e-16
131,270254$_$8,zero,8.881784197001252e-16,4.440892098500626e-16
132,270254$_$11,zero,0.0,5.551115123125783e-17
133,270254$_$14,zero,0.0,1.1102230246251565e-16
134,270254$_$16,zero,0.0,0.0
135,272624$_$10,zero,8.881784197001252e-16,0.0
136,272624$_$13,zero,2.220446049250313e-16,0.0
137,272624$_$12,zero,4.440892098500626e-16,1.1102230246251565e-16
138,272624$_$16,zero,0.0,2.220446049250313e-16
139,272624$_$18,zero,2.220446049250313e-16,0.0
140,272624$_$2,zero,0.0,0.0
141,272624$_$6,zero,0.0,1.1102230246251565e-16
142,272624$_$9,zero,4.440892098500626e-16,0.0
143,272624$_$8,zero,8.881784197001252e-16,0.0
144,273539$_$3,zero,8.881784197001252e-16,0.0
145,273539$_$2,zero,4.440892098500626e-16,0.0
146,273539$_$9,zero,0.0,0.0
147,290546$_$3,zero,0.0,0.0
148,290546$_$5,zero,0.0,0.0
149,290546$_$7,zero,0.0,0.0
150,290546$_$6,zero,0.0,1.1102230246251565e-16
151,2S00zYaVrtc$_$10,zero,8.881784197001252e-16,2.220446049250313e-16
152,2S00zYaVrtc$_$12,zero,2.220446049250313e-16,5.551115123125783e-17
153,2S00zYaVrtc$_$20,zero,0.0,0.0
154,2S00zYaVrtc$_$17,zero,0.0,0.0
155,2S00zYaVrtc$_$5,zero,4.440892098500626e-16,0.0
156,2S00zYaVrtc$_$4,zero,4.440892098500626e-16,5.551115123125783e-17
157,2Xt31_d0XEE$_$2,zero,0.0,1.1102230246251565e-16
158,31474$_$11,zero,0.0,0.0
159,31474$_$14,zero,0.0,1.1102230246251565e-16
160,31474$_$0,zero,5.551115123125783e-17,5.551115123125783e-17
161,31474$_$3,zero,0.0,0.0
162,31474$_$6,zero,8.881784197001252e-16,0.0
163,31474$_$9,zero,8.881784197001252e-16,2.220446049250313e-16
164,31474$_$8,zero,0.0,0.0
165,32681$_$1,zero,0.0,5.551115123125783e-17
166,32681$_$3,zero,8.881784197001252e-16,4.440892098500626e-16
167,32681$_$5,zero,0.0,0.0
168,32681$_$6,zero,0.0,4.440892098500626e-16
169,33170$_$1,zero,4.440892098500626e-16,0.0
170,33170$_$3,zero,0.0,2.220446049250313e-16
171,33170$_$4,zero,0.0,0.0
172,3MFNIag0wNE$_$12,zero,0.0,0.0
173,3MFNIag0wNE$_$14,zero,0.0,4.440892098500626e-16
174,3MFNIag0wNE$_$16,zero,0.0,0.0
175,3MFNIag0wNE$_$7,zero,0.0,0.0
176,3V2qm0rw920$_$11,zero,0.0,0.0
177,3V2qm0rw920$_$13,zero,0.0,0.0
178,3V2qm0rw920$_$3,zero,5.551115123125783e-17,1.1102230246251565e-16
179,3j94B0pzSVs$_$12,zero,0.0,5.551115123125783e-17
