sample_index,sample_id,modality,case_source,zero_feature_information_effect_logit_max_abs,zero_feature_information_effect_reg_abs,zero_vs_missing_state_effect_logit_max_abs,zero_vs_missing_state_effect_reg_abs,neutral_zero_idempotence_pass
0,-UacrmKiTn4$_$7,T,diagnostic_zero_clone,0.0,0.0,1.51025390625,0.5789062500000001,True
0,-UacrmKiTn4$_$7,A,diagnostic_zero_clone,0.0,0.0,0.1416015625,0.06953125000000002,True
227,80855$_$15,V,natural,0.0,0.0,0.206787109375,0.014062500000000089,True
314,Fy0Uid9afM8$_$5,V,natural,0.0,0.0,0.392333984375,0.1663818359375,True
316,H1DpVwktfDQ$_$0,V,natural,0.0,0.0,0.33447265625,0.300390625,True
332,JAnRCQ9A0vI$_$5,V,natural,0.0,0.0,0.169921875,0.07539062499999993,True
375,N5xfBtD6rLY$_$7,V,natural,0.0,0.0,0.38134765625,0.14736328125,True
397,Q4WzApjaCNI$_$0,V,natural,0.0,0.0,0.2958984375,0.12871093749999998,True
399,Q7S0tX4FUNA$_$7,V,natural,0.0,0.0,0.3182373046875,0.09492187500000002,True
442,UlTJmndbGHM$_$4,V,natural,0.0,0.0,0.26904296875,0.27890625,True
462,XIGpuL-Kkyk$_$0,V,natural,0.0,0.0,0.4013671875,0.17158203125,True
464,XIGpuL-Kkyk$_$7,V,natural,0.0,0.0,0.359375,0.12255859375000003,True
470,Y7qkyMyanjU$_$2,V,natural,0.0,0.0,0.3731689453125,0.11953124999999998,True
471,Y7qkyMyanjU$_$4,V,natural,0.0,0.0,0.36767578125,0.09482421875,True
666,sPremsknoLM$_$1,V,natural,0.0,0.0,0.357757568359375,0.1029296875,True
670,tQ-CIfgj-Js$_$3,V,natural,0.0,0.0,0.4482421875,0.1580078125,True
725,zjYEBwXGD8I$_$4,V,natural,0.0,0.0,0.3218994140625,0.1349609375,True
