sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
0,-UacrmKiTn4$_$7,zero,0.196533203125,-0.1984700520833333,0.39851485148514854,0.5696001494768311,0.48405750048098983,-0.04833984375,-0.0269856770833333,0.09801980198019802,0.07744768310911802,0.08773374254465802,0.248291015625,-0.1229817708333333,0.5034653465346535,0.35295216741405083,0.4282087569743521,T,False,True
1,-qDkUB0GgYY$_$5,zero,-1.1461995442708333,-0.4167317708333333,0.4918287530118378,0.5654593639575971,0.5286440584847174,0.8322550455729167,0.2843424479166667,0.35711666724866437,0.38582155477031804,0.3714691110094912,0.3520304361979167,0.0359049479166666,0.15105457973949787,0.04871908127208472,0.0998868305057913,T,False,True
2,0utROiKxejc$_$1,zero,0.7380777994791666,0.24990234375,0.5267605633802818,0.41772771792360436,0.4722441406519431,0.2858683268229167,-0.001123046875,0.20402207056773636,0.0018772445315050606,0.10294965754962071,-0.3772176106770833,-0.3472167968749999,0.269217366051982,0.5803950375448905,0.42480620179843626,T,False,True
3,0utROiKxejc$_$4,zero,5.479817708333333,-1.713541666666667,0.8843941264545956,0.8369637803288071,0.8606789533917014,-0.0399576822916666,0.0197591145833333,0.0064488166224487015,0.009651159093077222,0.008049987857762963,0.6763509114583334,-0.3140299479166666,0.1091570569229557,0.1533850605781155,0.1312710587505356,T,False,True
4,0y022OlZ3W0$_$3,zero,1.2366943359375,0.1481119791666666,0.6958343349702943,0.49564270152505463,0.5957385182476744,0.4858703613281249,0.1481119791666666,0.273378206669185,0.49564270152505463,0.3845104540971198,-0.054718017578125,0.0026041666666666,0.030787458360520624,0.008714596949890852,0.019751027655205738,T,False,True
5,0y022OlZ3W0$_$5,zero,4.074808756510416,-1.2241536458333335,0.8344512957253561,0.772958973937351,0.8037051348313535,-0.1994222005208333,0.0664713541666666,0.04083826347804349,0.041971553070788405,0.04140490827441595,0.6089884440104167,-0.2930989583333334,0.12471044079660032,0.18506947299186055,0.15488995689423044,T,False,True
6,0y022OlZ3W0$_$8,zero,1.5081990559895833,-0.2744303385416666,0.7601152513175975,0.4794960755317939,0.6198056634246957,-0.4356180826822916,0.1377278645833333,0.21954658244980826,0.24064384029120695,0.2300952113705076,-0.0403544108072916,-0.1601725260416666,0.020338166232594355,0.27986008417699915,0.15009912520479676,T,False,True
7,101787$_$11,zero,2.319554646809896,-0.5504781087239583,0.7367034337481745,0.4836046528254404,0.6101540432868074,0.1853535970052083,-0.0821706136067708,0.05886933147236328,0.0721883221802791,0.06552882682632119,0.6436513264973959,-0.5056325276692709,0.20442723477946212,0.4442070249942806,0.32431712988687134,T,False,True
8,101787$_$13,zero,0.8462931315104167,0.38662109375,0.42590203546709265,0.316593362654938,0.3712476990610153,0.1581827799479166,-0.096875,0.07960642175533436,0.07932826869252299,0.07946734522392868,0.9825846354166669,-0.7376953125,0.4944915427775731,0.6040783686525389,0.5492849557150561,V,False,False
9,101787$_$1,zero,0.9976399739583336,-0.3573506673177083,0.49809036242483357,0.40940600059670323,0.4537481815107684,0.2844441731770833,-0.1060109456380208,0.14201405818300014,0.12145357835459085,0.1317338182687955,0.7208455403645833,-0.4094899495442708,0.3598955793921664,0.4691404210487059,0.41451800022043617,T,False,False
10,101787$_$5,zero,5.430094401041667,-1.7889973958333334,0.9168796548217769,0.8482743717972465,0.8825770133095117,0.1400553385416666,-0.1305989583333333,0.023648555802896626,0.061925047848366964,0.0427868018256318,0.3522135416666667,-0.1893880208333332,0.05947178937532635,0.08980058035438655,0.07463618486485646,T,False,True
