sample_index,sample_id,baseline,main_modality,comparison,n_candidates,top20_k,top20_jaccard,position_spearman
0,-UacrmKiTn4$_$7,zero,T,w1_vs_w3,26,6,0.2,0.17538461538461536
0,-UacrmKiTn4$_$7,zero,T,w3_vs_w5,26,6,0.3333333333333333,0.7743589743589743
0,-UacrmKiTn4$_$7,zero,T,w1_vs_w5,26,6,0.09090909090909091,0.07965811965811966
1,-qDkUB0GgYY$_$5,zero,T,w1_vs_w3,48,10,0.6666666666666666,0.6124534058635549
1,-qDkUB0GgYY$_$5,zero,T,w3_vs_w5,48,10,0.5384615384615384,0.5855022120646198
1,-qDkUB0GgYY$_$5,zero,T,w1_vs_w5,48,10,0.42857142857142855,0.34887635707629633
2,0utROiKxejc$_$1,zero,T,w1_vs_w3,16,4,0.14285714285714285,0.2529411764705882
2,0utROiKxejc$_$1,zero,T,w3_vs_w5,16,4,0.6,0.8294117647058824
2,0utROiKxejc$_$1,zero,T,w1_vs_w5,16,4,0.14285714285714285,0.19999999999999998
3,0utROiKxejc$_$4,zero,T,w1_vs_w3,33,7,0.5555555555555556,0.692792273933793
3,0utROiKxejc$_$4,zero,T,w3_vs_w5,33,7,0.75,0.8419117647058824
3,0utROiKxejc$_$4,zero,T,w1_vs_w5,33,7,0.4,0.6005204482297755
4,0y022OlZ3W0$_$3,zero,T,w1_vs_w3,17,4,0.3333333333333333,0.607843137254902
4,0y022OlZ3W0$_$3,zero,T,w3_vs_w5,17,4,0.6,0.9142156862745098
4,0y022OlZ3W0$_$3,zero,T,w1_vs_w5,17,4,0.14285714285714285,0.5441176470588236
5,0y022OlZ3W0$_$5,zero,T,w1_vs_w3,22,5,0.42857142857142855,0.5642474102438456
5,0y022OlZ3W0$_$5,zero,T,w3_vs_w5,22,5,0.6666666666666666,0.8306041784302655
5,0y022OlZ3W0$_$5,zero,T,w1_vs_w5,22,5,0.25,0.24061000677064884
6,0y022OlZ3W0$_$8,zero,T,w1_vs_w3,13,3,0.5,0.7802197802197801
6,0y022OlZ3W0$_$8,zero,T,w3_vs_w5,13,3,0.5,0.9230769230769231
6,0y022OlZ3W0$_$8,zero,T,w1_vs_w5,13,3,0.2,0.7032967032967032
7,101787$_$11,zero,T,w1_vs_w3,32,7,0.16666666666666666,0.5007331378299119
7,101787$_$11,zero,T,w3_vs_w5,32,7,0.5555555555555556,0.8390762463343108
7,101787$_$11,zero,T,w1_vs_w5,32,7,0.16666666666666666,0.27602639296187675
8,101787$_$13,zero,V,w1_vs_w3,19,4,0.6,0.7140350877192982
8,101787$_$13,zero,V,w3_vs_w5,19,4,0.3333333333333333,0.8421052631578947
8,101787$_$13,zero,V,w1_vs_w5,19,4,0.6,0.5824561403508772
9,101787$_$1,zero,T,w1_vs_w3,16,4,0.3333333333333333,0.057437470243971125
9,101787$_$1,zero,T,w3_vs_w5,16,4,0.3333333333333333,0.75
9,101787$_$1,zero,T,w1_vs_w5,16,4,0.14285714285714285,0.12518423001891144
10,101787$_$5,zero,T,w1_vs_w3,17,4,0.3333333333333333,0.5269607843137256
10,101787$_$5,zero,T,w3_vs_w5,17,4,1.0,0.9534313725490198
