sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
0,-UacrmKiTn4$_$7,zero,T,0.1,3,0.07597653750000015,0.02623046875000002,0.14482421375000004,0.15788085937500004
0,-UacrmKiTn4$_$7,zero,T,0.2,6,0.10383298281250015,0.04279296875000001,0.18940428437500006,0.13929687500000004
0,-UacrmKiTn4$_$7,zero,T,0.3,8,0.14909665468750016,0.061484375000000015,0.1846435521875,0.12257812500000002
1,-qDkUB0GgYY$_$5,zero,T,0.1,5,-0.13024901093749994,0.03925781249999995,0.88721922578125,0.39316406249999997
1,-qDkUB0GgYY$_$5,zero,T,0.2,10,-0.25109862031249996,0.08275390624999997,0.7482177609375,0.3308984375
1,-qDkUB0GgYY$_$5,zero,T,0.3,15,-0.33361815156249996,0.11884765624999996,0.6572875851562501,0.28501953124999996
2,0utROiKxejc$_$1,zero,T,0.1,2,0.06602172539062497,0.08665161132812502,0.8317382787499998,0.455279541015625
2,0utROiKxejc$_$1,zero,T,0.2,4,0.24830321953125,0.17706420898437503,0.6467252712573242,0.36967712402343755
2,0utROiKxejc$_$1,zero,T,0.3,5,0.4748840300781249,0.27509948730468753,0.5173095696875001,0.29679779052734373
3,0utROiKxejc$_$4,zero,T,0.1,4,-0.002148424999999854,0.0608984375,3.332012951953126,0.8996972656250002
3,0utROiKxejc$_$4,zero,T,0.2,7,0.05258790312500015,0.07203125000000002,2.2919494753906258,0.5061718750000002
3,0utROiKxejc$_$4,zero,T,0.3,10,0.22119141875000015,0.118125,1.304718030078125,0.22964843750000002
4,0y022OlZ3W0$_$3,zero,T,0.1,2,0.008990453828124956,0.02550781250000001,1.0649413815624995,0.17386718749999996
4,0y022OlZ3W0$_$3,zero,T,0.2,4,0.09110410128906246,0.03484375000000001,0.7965865841992187,0.10884765625
4,0y022OlZ3W0$_$3,zero,T,0.3,6,0.19623410617187495,0.05388671874999999,0.6104644528515625,0.09404296875
