baseline,group_type,group,n,descriptive_only_n_lt_30,mean_FaithfulnessScore,mean_GainComp_cls,mean_GainComp_reg,mean_GainSuff_cls,mean_GainSuff_reg,TEXT_MISSING_OOD_CAUTION
zero,main_modality,A,33,False,0.1357151858110611,0.09248775135387073,0.028596906565656572,0.07546186350812811,0.02351508246527777,False
zero,main_modality,T,573,False,0.5469445846531233,0.7021107680857215,0.19003892692318486,0.588528585255798,0.17658260853918853,False
zero,main_modality,V,122,False,0.4085623655914161,0.048416229414809595,0.01723024998857675,0.04096141577464619,0.014824446276888826,False
zero,true_class,Negative,206,False,0.8638756782463959,0.874466127330817,0.24089703620830405,0.8156860680097247,0.25420905906405655,False
zero,true_class,Neutral,184,False,0.37614905896759543,0.43181206886319146,0.09875178880449653,0.287007995110744,0.0789048121329667,False
zero,true_class,Positive,338,False,0.3566646158916044,0.448742316554519,0.13060051758378685,0.3664899776966482,0.10911498006043821,False
zero,baseline_agreement,agree,456,False,0.511143954256671,0.7554869740852835,0.2083307705026621,0.6510999723682277,0.1993225001853112,False
zero,baseline_agreement,disagree,272,False,0.4950029911732186,0.24546428571144735,0.06227669923913246,0.17578244916152758,0.04733586314554309,False
missing,main_modality,A,87,False,0.036352785597282174,0.08707290097671451,0.014660324310434278,-0.03922382085381258,-0.007937005936414348,False
missing,main_modality,T,580,False,0.7180603817500659,0.7757944987834186,0.20658414483755483,0.7571064191713783,0.1763680752077322,True
missing,main_modality,V,61,False,0.09142108133309555,0.05994271307043691,0.019513782464741353,0.032209759171453765,0.01700169616709641,False
missing,true_class,Negative,206,False,0.38419995924277084,0.8006294106974186,0.21827793693851116,0.7782176194577971,0.15557757730237104,False
missing,true_class,Neutral,184,False,0.49484057451663294,0.48668549004672235,0.10057529385539069,0.3146839663757081,0.05858362312766088,False
missing,true_class,Positive,338,False,0.7544927290184894,0.6115765337407941,0.17400439015506994,0.6492880668436091,0.17695769227938302,False
missing,baseline_agreement,agree,456,False,0.7014775768817808,0.776736395592578,0.21256101740905417,0.8198479389944336,0.1810780147694008,False
missing,baseline_agreement,disagree,272,False,0.3872817083280463,0.3933855175971985,0.0932234154875372,0.2346448008570389,0.07378122365942189,False
