sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
0,-UacrmKiTn4$_$7,missing,T,True,0.1,26,3,0.017578100000000152,0.22389323413372034,0.24804685000000015,0.03339843750000002,-0.22780764218749985,0.0600830078125,0.4758544921875,-0.026684570312499982,1.6243896734374998,0.23243408203125,1.5320307027954096,0.197711181640625,-0.0923589706420902,-0.03472290039062498,27.069331887724392,-0.004447428385416664,-5.253907801997224,-0.005787150065104163,5.451297376819163
0,-UacrmKiTn4$_$7,missing,T,True,0.2,26,6,0.017578100000000152,0.22389323413372034,0.15576169375000015,0.025000000000000022,-0.33088381406249995,0.0716650390625,0.4866455078125001,-0.04666503906249998,1.7089843999999998,0.225994873046875,1.3266906988281246,0.1803279113769531,-0.3822937011718752,-0.0456669616699219,27.683186728131467,-0.007777506510416664,-21.747057652090945,-0.007611160278320317,1.480185102312946
0,-UacrmKiTn4$_$7,missing,T,True,0.3,26,8,0.017578100000000152,0.22389323413372034,-0.04541018124999985,0.017968749999999978,-0.50504152890625,0.10299316406249999,0.45963134765625013,-0.08502441406250001,1.5396728765624998,0.21226654052734376,1.1246155035156247,0.16447937011718747,-0.4150573730468752,-0.04778717041015629,26.14646640932961,-0.014170735677083336,-23.61084316301014,-0.007964528401692714,0.6283719955601726
1,-qDkUB0GgYY$_$5,missing,T,True,0.1,48,5,0.42480470000000004,0.4766276091337204,0.55126954375,0.15664062499999998,0.19494630156250006,0.04381835937500001,0.3563232421875,0.11282226562499997,0.90673829375,0.0015625000000000222,1.1907211428710938,0.61418212890625,0.28398284912109373,0.61261962890625,0.8387911042330647,0.018803710937499996,0.6685005618359022,0.102103271484375,0.4070496621227105
1,-qDkUB0GgYY$_$5,missing,T,True,0.2,48,10,0.42480470000000004,0.4766276091337204,1.0352783328125001,0.30253906250000007,0.23208009062500007,0.05044921875000001,0.8031982421875001,0.25208984375000004,0.18652345000000004,0.09062499999999996,1.1327407961914062,0.41211486816406256,0.9462173461914062,0.3214898681640626,1.8907426199495443,0.04201497395833334,2.2274120761359986,0.05358164469401044,1.0534378286844717
1,-qDkUB0GgYY$_$5,missing,T,True,0.3,48,15,0.42480470000000004,0.4766276091337204,1.3247070437500001,0.46739044189453127,0.36479493437500005,0.06844726562500003,0.959912109375,0.39894317626953124,0.07324217499999996,0.10507812499999991,1.0497924929687499,0.17873046875000004,0.9765503179687499,0.07365234375000013,2.2596497866554053,0.06649052937825521,2.298816418821004,0.012275390625000021,1.1593080313699162
2,0utROiKxejc$_$1,missing,T,True,0.1,16,2,1.02075195,0.4723307341337204,1.4176025359375,0.43317871093750004,0.1228668181640625,0.08280517578125005,1.2947357177734375,0.35037353515625,0.810058590625,0.18417968750000002,2.4764709441406247,0.52930419921875,1.6664123535156248,0.34512451171875,1.2684124182775447,0.05839558919270834,1.632532488410271,0.057520751953125004,0.7542153119584123
2,0utROiKxejc$_$1,missing,T,True,0.2,16,4,1.02075195,0.4723307341337204,1.6649169890625,0.4417968750000001,0.5117050139648437,0.20002990722656255,1.1532119750976562,0.24176696777343754,0.20800780937499996,0.05507812500000009,1.8824277846557613,0.4312322998046875,1.6744199752807614,0.37615417480468744,1.1297659978329293,0.040294494628906254,1.640377307046491,0.0626923624674479,0.7182825404939436
2,0utROiKxejc$_$1,missing,T,True,0.3,16,5,1.02075195,0.4723307341337204,1.8675537078125,0.48942871093750007,0.8862131325942993,0.3039746093750001,0.9813405752182006,0.18545410156249997,0.13964844062500004,0.05273437499999989,1.3317474333984378,0.32499206542968756,1.1920989927734378,0.27225769042968767,0.9613889190505898,0.030909016927083328,1.1678624027228508,0.04537628173828128,0.5513841551097013
3,0utROiKxejc$_$4,missing,T,True,0.1,33,4,4.1591797,-1.4347005158662798,0.6699218875000001,0.4085937500000001,0.020849621875000147,0.040898437499999996,0.649072265625,0.3676953125000001,0.12695311249999985,0.140625,0.9675354116406251,0.24648437500000003,0.8405822991406252,0.10585937500000003,0.15605772204727722,0.06128255208333335,0.20210285625258484,0.017643229166666673,0.10927158988746552
