sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
0,-UacrmKiTn4$_$7,zero,T,False,0.1,26,3,0.017578100000000152,0.22389323413372034,0.20800778750000015,0.04921875000000006,0.07597653750000015,0.02623046875000002,0.13203125,0.02298828125000004,0.04248049374999985,0.11152343750000002,0.14482421375000004,0.15788085937500004,0.1023437200000002,0.04635742187500003,7.5106945179217846,0.0038313802083333403,5.8218975943022855,0.007726236979166671,3.3360374323528923
0,-UacrmKiTn4$_$7,zero,T,False,0.2,26,6,0.017578100000000152,0.22389323413372034,0.34374997500000015,0.08906250000000002,0.10383298281250015,0.04279296875000001,0.2399169921875,0.04626953125000001,0.23730471249999985,0.06152343749999997,0.18940428437500006,0.13929687500000004,-0.04790042812499978,0.07777343750000007,13.64785411013635,0.007711588541666668,-2.7248509949314452,0.012962239583333346,2.735919235832476
0,-UacrmKiTn4$_$7,zero,T,False,0.3,26,8,0.017578100000000152,0.22389323413372034,0.48193356875000015,0.13046875,0.14909665468750016,0.061484375000000015,0.3328369140625,0.06898437499999999,0.39453127499999985,0.019140625000000022,0.1846435521875,0.12257812500000002,-0.20988772281249984,0.1034375,18.93367203454654,0.011497395833333332,-11.93961709146077,0.017239583333333332,1.7556979805631094
1,-qDkUB0GgYY$_$5,zero,T,False,0.1,48,5,0.42480470000000004,0.4766276091337204,0.17089845000000004,0.028906250000000022,-0.13024901093749994,0.03925781249999995,0.3011474609375,-0.010351562499999925,1.1829833859374999,0.476171875,0.88721922578125,0.39316406249999997,-0.29576416015624984,-0.08300781250000006,0.7089063563353787,-0.0017252604166666542,-0.6962339727462458,-0.013834635416666676,-0.0007218780610501025
1,-qDkUB0GgYY$_$5,zero,T,False,0.2,48,10,0.42480470000000004,0.4766276091337204,-0.003417956249999965,0.0234375,-0.25109862031249996,0.08275390624999997,0.2476806640625,-0.05931640624999997,1.1031494015624999,0.426171875,0.7482177609375,0.3308984375,-0.3549316406249998,-0.0952734375,0.5830445873548777,-0.009886067708333328,-0.8355152499719279,-0.01587890625,-0.06955890914384588
1,-qDkUB0GgYY$_$5,zero,T,False,0.3,48,15,0.42480470000000004,0.4766276091337204,-0.18359373749999996,0.09062499999999996,-0.33361815156249996,0.11884765624999996,0.1500244140625,-0.028222656250000006,0.885742175,0.335546875,0.6572875851562501,0.28501953124999996,-0.2284545898437499,-0.050527343750000064,0.35316007780145137,-0.004703776041666667,-0.5377860745365467,-0.008421223958333343,-0.04943774918377383
2,0utROiKxejc$_$1,zero,T,False,0.1,16,2,1.02075195,0.4723307341337204,1.1268310515625,0.4476684570312501,0.06602172539062497,0.08665161132812502,1.060809326171875,0.3610168457031251,0.24682617500000004,0.03750000000000009,0.8317382787499998,0.455279541015625,0.5849121037499998,0.4177795410156249,1.0392419891334872,0.060169474283854184,0.5730202432919737,0.06962992350260415,0.4355154075529798
2,0utROiKxejc$_$1,zero,T,False,0.2,16,4,1.02075195,0.4723307341337204,1.3463134734375,0.49479980468750007,0.24830321953125,0.17706420898437503,1.09801025390625,0.31773559570312504,0.13525390937500004,0.10000000000000009,0.6467252712573242,0.36967712402343755,0.5114713618823241,0.26967712402343746,1.0756865840125664,0.05295593261718751,0.5010726267137647,0.044946187337239575,0.4186653326701896
2,0utROiKxejc$_$1,zero,T,False,0.3,16,5,1.02075195,0.4723307341337204,1.40802001640625,0.562451171875,0.4748840300781249,0.27509948730468753,0.933135986328125,0.2873516845703125,0.38159180000000004,0.012109374999999978,0.5173095696875001,0.29679779052734373,0.13571776968750004,0.28468841552734375,0.9141643786854842,0.04789194742838542,0.1329584888170052,0.047448069254557294,0.285615721046358
3,0utROiKxejc$_$4,zero,T,False,0.1,33,4,4.1591797,-1.4347005158662798,0.6748047000000001,0.37656250000000013,-0.002148424999999854,0.0608984375,0.676953125,0.3156640625000001,2.04736329375,0.19062500000000004,3.332012951953126,0.8996972656250002,1.2846496582031257,0.7090722656250001,0.16276117192984665,0.052610677083333356,0.3088708452131271,0.11817871093750003,0.16060535129095177
