sample_index,sample_id,shapley_T,shapley_A,shapley_V,local_T,local_A,local_V,shapley_main,local_main,top1_agreement,spearman_rank,l1_distance,pearson_aux
0,-UacrmKiTn4$_$7,0.4840575004809898,0.087733742544658,0.4282087569743521,0.8078506829709918,0.09644255022686186,0.09570676680214638,T,T,True,0.5,0.6650039803444117,0.6077664765531415
1,-qDkUB0GgYY$_$5,0.5286440584847174,0.3714691110094912,0.0998868305057913,0.04909946817146379,0.8858222234823983,0.06507830834613794,T,A,False,-0.5,1.028706224945814,0.13573876774654212
2,0utROiKxejc$_$1,0.4722441406519431,0.1029496575496207,0.4248062017984362,0.9178709895320655,0.04636655474427395,0.03576245572366072,T,T,True,0.5,0.8912536977602445,0.5903168996093067
3,0utROiKxejc$_$4,0.8606789533917014,0.0080499878577629,0.1312710587505356,0.6339546161704862,0.04601294541460428,0.3200324384149095,T,T,True,1.0,0.45344867444243053,0.9392563383832876
4,0y022OlZ3W0$_$3,0.5957385182476744,0.3845104540971198,0.0197510276552057,0.4715025113256782,0.46282572181211695,0.06567176686220474,T,T,True,1.0,0.2484720138439924,0.9386200948222799
5,0y022OlZ3W0$_$5,0.8037051348313535,0.0414049082744159,0.1548899568942304,0.47934173175082684,0.06203648757474182,0.4586217806744313,T,T,True,1.0,0.6487268061610536,0.6488479504617664
6,0y022OlZ3W0$_$8,0.6198056634246957,0.2300952113705076,0.1500991252047967,0.8052453504472955,0.02116152664977251,0.1735931229029318,T,T,True,0.5,0.41786736944147,0.9413396027940788
7,101787$_$11,0.6101540432868074,0.0655288268263211,0.3243171298868713,0.8294019529724168,0.03885101296855451,0.13174703405902868,T,T,True,1.0,0.4384958193712185,0.9259571596050449
8,101787$_$13,0.3712476990610153,0.0794673452239286,0.5492849557150561,0.3978299171569983,0.06152980162423176,0.5406402812187701,V,V,True,1.0,0.05316443619196587,0.9959352429162712
9,101787$_$1,0.4537481815107684,0.1317338182687955,0.4145180002204361,0.4271562033316281,0.1494492686498589,0.4233945280185129,T,T,True,1.0,0.05318395635828049,0.9949971820617065
10,101787$_$5,0.8825770133095117,0.0427868018256318,0.0746361848648564,0.9371108135664783,0.0071179645588833294,0.055771221874638406,T,T,True,1.0,0.1090676005139331,0.9999151957831222
11,101787$_$7,0.8153281777245353,0.0275109120508437,0.1571609102246209,0.9860868457025033,0.009825051868558449,0.00408810242893833,T,T,True,0.5,0.3415173359559358,0.987363494217908
12,101787$_$9,0.7005396724065089,0.096838636864634,0.202621690728857,0.6722575126043447,0.2653468362495359,0.062395651146119474,T,T,True,0.5,0.3370163987698036,0.8786966327266309
13,102408$_$2,0.7401664435950388,0.1241564088114465,0.1356771475935147,0.05077598532682634,0.9330643817437501,0.016159632929423625,T,A,False,-0.5,1.6178159458646069,-0.4852373257867958
14,102408$_$5,0.1268612617538581,0.6452890099370814,0.2278497283090604,0.38582871999470597,0.5837426735312012,0.0304286064740927,A,A,True,0.5,0.5179349164816958,0.6438763214665303
15,102408$_$9,0.8083812151599316,0.1472555499409248,0.0443632348991435,0.8118047350577982,0.05748517789179257,0.1307100870504092,T,T,True,0.5,0.17954074409826454,0.9774997556926406
16,102858$_$20,0.8402010892618861,0.0515434922728507,0.1082554184652632,0.8487528843269623,0.02533861813401528,0.1259084975390225,T,T,True,1.0,0.05240974827767092,0.9988638764427468
17,102858$_$21,0.7720144431986207,0.0573814853596397,0.1706040714417395,0.7806761872985221,0.013554010012622845,0.20576980268885503,T,T,True,1.0,0.08765495069403378,0.9954676774572461
18,102858$_$1,0.5462426537470124,0.1448996330194266,0.3088577132335608,0.9139847055162507,0.04283489122310478,0.043180403260644436,T,T,True,1.0,0.7354841035384765,0.91389550410822
19,102858$_$0,0.175882670476327,0.4554623656636685,0.3686549638600044,0.39466883202227676,0.5973350641098406,0.007996103867882557,A,A,True,0.5,0.7213177199842438,0.1294577309178355
20,102858$_$4,0.4483123228727448,0.1758370726090747,0.3758506045181804,0.9263734086685449,0.04030483128773862,0.03332176004371644,T,T,True,0.5,0.9561221715916001,0.7007407042884148
21,102858$_$6,0.3205349505938308,0.0197509496707663,0.6597140997354028,0.7223209868635988,0.009539310943839916,0.2681397021925613,V,T,False,0.5,0.8035720725395359,0.325802035419713
22,102858$_$10,0.901287281317593,0.0353816397884613,0.0633310788939456,0.9826134691049799,0.008927064383930138,0.008459466511089912,T,T,True,0.5,0.16265237557477383,0.9995847327375343
23,102858$_$17,0.7890154581102229,0.0067373335741764,0.2042472083156006,0.7477716685133564,0.02168835341950346,0.2305399780671402,T,T,True,1.0,0.08248757919373315,0.9992810020404399
24,102858$_$19,0.4725866287118482,0.0141297694556097,0.5132836018325422,0.5801863366485015,0.0360882227868081,0.3837254405646904,V,T,False,0.5,0.2591163225357035,0.9055951497991209
25,112433$_$10,0.842960616756902,0.0348610910643335,0.1221782921787644,0.7610746987969257,0.0031570317599298446,0.2357682694431444,T,T,True,1.0,0.22717995452876,0.9789337300803008
26,112433$_$3,0.6472401423890328,0.122371846306537,0.2303880113044301,0.6527002070368845,0.01806827941495925,0.32923151354815644,T,T,True,1.0,0.20860713378315573,0.9503958499749106
27,112433$_$7,0.7257225367302325,0.0236980092315324,0.250579454038235,0.7938917846993303,0.032609173699649635,0.17349904160102006,T,T,True,1.0,0.15416082487443003,0.9891592476866374
28,112433$_$6,0.8923160046338587,0.0129900136805454,0.0946939816855957,0.943074355368249,0.004831200846859087,0.052094443784891996,T,T,True,1.0,0.10151670146878031,0.9992212976716782
29,117tQqLjza4$_$6,0.3983439744316859,0.2994937799062942,0.3021622456620199,0.30626666167346633,0.4340957289414649,0.2596376093850688,T,A,False,-0.5,0.26920389807034134,-0.282322979777544
30,11j7EfglCAs$_$2,0.5597827104385105,0.0944807367741953,0.3457365527872941,0.39690852721989417,0.2659854542247257,0.3371060185553802,T,T,True,1.0,0.34300943490106056,0.9999930353251174
31,121128$_$10,0.7753936624735213,0.1050664294879114,0.1195399080385672,0.800982434181231,0.1805428818901177,0.018474683928651363,T,T,True,0.5,0.20213044821983192,0.9766812239586894
32,121128$_$1,0.8659916809986431,0.0212714800561449,0.1127368389452119,0.23678964102749062,0.691502437140521,0.07170792183198837,T,A,False,-0.5,1.340461914168752,-0.354462481444144
33,121128$_$0,0.7297602984311005,0.1085209920000632,0.1617187095688363,0.7875144111354425,0.027341739387099606,0.18514384947745788,T,T,True,1.0,0.16235850522592724,0.992730966225721
34,121128$_$5,0.8682719074820794,0.067522065554747,0.0642060269631734,0.9320217059333651,0.06058910449841916,0.007389189568215754,T,T,True,1.0,0.12749959690257118,0.9988635277636999
35,125344$_$0,0.8613963326486308,0.039516445918426,0.0990872214329431,0.9148799503444737,0.053766721752552114,0.03135332790297423,T,T,True,0.5,0.13546778705993784,0.9961929079060664
36,125676$_$0,0.6149908971267466,0.1890720074657592,0.1959370954074941,0.6453676260792238,0.08882048097633899,0.26581189294443713,T,T,True,1.0,0.20050305297884047,0.9546229903898015
37,125676$_$4,0.6785834955531866,0.2475017195218308,0.0739147849249826,0.5444867192042852,0.4400331052722077,0.015480175523507129,T,T,True,1.0,0.38506277150075385,0.8380063480080797
38,128059$_$11,0.8060288559855562,0.0405842056074891,0.1533869384069546,0.719587276514042,0.017626604039365477,0.2627861194465927,T,T,True,1.0,0.21879836207927592,0.9771172270349107
