sample_index,sample_id,modality,rank,start_index,end_index,score,source_scale
0,-UacrmKiTn4$_$7,A,1,11,17,0.5269722902696488,5
0,-UacrmKiTn4$_$7,A,2,17,17,0.0874271888064563,peak
0,-UacrmKiTn4$_$7,A,3,13,13,0.077858285848625,1
1,-qDkUB0GgYY$_$5,A,1,25,30,0.1501047200623175,5
1,-qDkUB0GgYY$_$5,A,2,5,10,0.1463919416817412,5
1,-qDkUB0GgYY$_$5,A,3,19,21,0.0730513060677941,1
2,0utROiKxejc$_$1,A,1,11,14,0.46161716712440426,3
2,0utROiKxejc$_$1,A,2,13,13,0.1392730150066184,peak
2,0utROiKxejc$_$1,A,3,1,1,0.0336522081950327,1
3,0utROiKxejc$_$4,A,1,19,23,0.3446135449219057,5
3,0utROiKxejc$_$4,A,2,11,15,0.3164683000623864,3
3,0utROiKxejc$_$4,A,3,22,22,0.1051453439957221,peak
4,0y022OlZ3W0$_$3,A,1,10,13,0.30589327948227163,5
4,0y022OlZ3W0$_$3,A,2,3,4,0.13449958784297789,3
4,0y022OlZ3W0$_$3,A,3,12,12,0.0800946279513723,1
5,0y022OlZ3W0$_$5,A,1,3,8,0.5349343657824592,5
5,0y022OlZ3W0$_$5,A,2,1,4,0.3750001091445681,3
5,0y022OlZ3W0$_$5,A,3,3,3,0.1424744262372227,peak
6,0y022OlZ3W0$_$8,A,1,7,10,0.1947205178342658,5
6,0y022OlZ3W0$_$8,A,2,10,13,0.1709437439597238,1
6,0y022OlZ3W0$_$8,A,3,10,10,0.05289596116243,peak
7,101787$_$11,A,1,11,18,0.5235471744778193,3
7,101787$_$11,A,2,13,14,0.1372550827284175,1
7,101787$_$11,A,3,10,11,0.1277912996303877,1
8,101787$_$13,A,1,14,18,0.42177227996101185,3
8,101787$_$13,A,2,17,17,0.1039481678441293,peak
8,101787$_$13,A,3,14,14,0.0810815279232198,1
9,101787$_$1,A,1,5,8,0.46864648097126127,3
9,101787$_$1,A,2,7,7,0.1290973804084304,peak
9,101787$_$1,A,3,5,5,0.1080922863135752,1
10,101787$_$5,A,1,10,14,0.48546198066399704,5
10,101787$_$5,A,2,13,13,0.1477616924586582,peak
10,101787$_$5,A,3,7,7,0.1033528208176445,1
11,101787$_$7,A,1,3,4,0.4872209713255983,1
12,101787$_$9,A,1,15,17,0.2201012207911059,3
12,101787$_$9,A,2,12,14,0.1747769725189041,5
12,101787$_$9,A,3,3,4,0.1366844919786094,3
13,102408$_$2,A,1,3,5,0.5613486691483603,5
13,102408$_$2,A,2,5,6,0.3704271130480027,1
14,102408$_$5,A,1,14,20,0.32750022772228127,5
14,102408$_$5,A,2,9,10,0.0827470769072053,3
14,102408$_$5,A,3,18,18,0.0505616739196546,peak
15,102408$_$9,A,1,5,12,0.1907773517255112,3
