sample_index,sample_id,modality,rank,start_index,end_index,score,source_scale
0,-UacrmKiTn4$_$7,V,1,19,25,0.6535892228232144,3
0,-UacrmKiTn4$_$7,V,2,21,22,0.3035691695299696,1
0,-UacrmKiTn4$_$7,V,3,25,26,0.1212138208071987,1
1,-qDkUB0GgYY$_$5,V,1,15,24,0.4611796765657995,5
1,-qDkUB0GgYY$_$5,V,2,19,19,0.0723734511942654,peak
1,-qDkUB0GgYY$_$5,V,3,37,39,0.0658460667798528,3
2,0utROiKxejc$_$1,V,1,9,12,0.17581660470879779,5
2,0utROiKxejc$_$1,V,2,9,9,0.046631970260223,1
2,0utROiKxejc$_$1,V,3,11,11,0.0441387856257744,1
3,0utROiKxejc$_$4,V,1,5,9,0.1767401418113679,5
3,0utROiKxejc$_$4,V,2,28,30,0.1012401485431312,3
3,0utROiKxejc$_$4,V,3,27,28,0.06924541572999099,1
4,0y022OlZ3W0$_$3,V,1,9,13,0.6564740030601651,3
4,0y022OlZ3W0$_$3,V,2,10,10,0.1725237296807416,peak
4,0y022OlZ3W0$_$3,V,3,14,15,0.1220139192482151,1
5,0y022OlZ3W0$_$5,V,1,8,11,0.2248109618601299,5
5,0y022OlZ3W0$_$5,V,2,19,22,0.1725314205297965,1
5,0y022OlZ3W0$_$5,V,3,17,18,0.112476039497884,5
6,0y022OlZ3W0$_$8,V,1,9,12,0.6204681027394681,3
6,0y022OlZ3W0$_$8,V,2,11,11,0.1751175911312799,peak
7,101787$_$11,V,1,21,28,0.3362722097075626,5
7,101787$_$11,V,2,28,31,0.14336259369590282,1
7,101787$_$11,V,3,20,22,0.127881549250212,1
8,101787$_$13,V,1,9,11,0.2274370123214358,1
8,101787$_$13,V,2,15,16,0.15337024749689682,1
9,101787$_$1,V,1,5,8,0.3392140345767285,5
9,101787$_$1,V,2,4,5,0.1779461438670698,1
9,101787$_$1,V,3,9,9,0.0785629684880743,1
10,101787$_$5,V,1,5,9,0.5668903464057701,3
10,101787$_$5,V,2,9,10,0.1889791622026121,1
10,101787$_$5,V,3,6,6,0.1187352535116491,peak
11,101787$_$7,V,1,6,7,0.2461111111111105,3
11,101787$_$7,V,2,4,5,0.12888888888888939,5
12,101787$_$9,V,1,11,15,0.1838115742974867,5
12,101787$_$9,V,2,15,19,0.14106561738248122,1
12,101787$_$9,V,3,13,13,0.0406585248153235,1
13,102408$_$2,V,1,3,5,0.293306769340974,5
14,102408$_$5,V,1,2,5,0.2319355308880851,3
14,102408$_$5,V,2,15,18,0.1862777999864132,5
14,102408$_$5,V,3,23,25,0.1499182363218077,5
15,102408$_$9,V,1,4,10,0.36127811383371156,5
15,102408$_$9,V,2,5,6,0.11971507242444071,1
15,102408$_$9,V,3,26,27,0.0820462157875968,3
16,102858$_$20,V,1,19,22,0.19453858028898302,3
16,102858$_$20,V,2,13,14,0.09206733505548939,3
16,102858$_$20,V,3,20,20,0.0516037201040065,peak
17,102858$_$21,V,1,19,25,0.3490678899164099,3
17,102858$_$21,V,2,23,23,0.0557265521505498,peak
17,102858$_$21,V,3,21,21,0.0498497859806566,1
18,102858$_$1,V,1,14,19,0.5649568598498348,3
18,102858$_$1,V,2,17,17,0.1100005786794104,peak
18,102858$_$1,V,3,21,22,0.0445645673331369,1
19,102858$_$0,V,1,1,3,0.49999999999999994,3
20,102858$_$4,V,1,27,38,0.4952282183853008,3
20,102858$_$4,V,2,31,33,0.1127497212493771,1
20,102858$_$4,V,3,37,38,0.1024833924977753,1
21,102858$_$6,V,1,5,9,0.22670387495522548,5
21,102858$_$6,V,2,23,26,0.125808667631009,1
21,102858$_$6,V,3,21,22,0.08528981160590479,5
22,102858$_$10,V,1,2,4,0.4473565422769361,3
22,102858$_$10,V,2,4,6,0.3206803282941475,5
22,102858$_$10,V,3,9,9,0.0908361970217636,1
23,102858$_$17,V,1,4,6,0.49277096644364576,5
23,102858$_$17,V,2,1,1,0.0511516581102082,1
24,102858$_$19,V,1,3,5,0.40315142665260795,3
24,102858$_$19,V,2,1,3,0.28340410187996756,1
25,112433$_$10,V,1,1,1,1.0,1
26,112433$_$3,V,1,22,29,0.38391723396352395,3
26,112433$_$3,V,2,25,25,0.0542484646775759,peak
26,112433$_$3,V,3,16,16,0.0321846748343542,1
27,112433$_$7,V,1,4,6,0.4612649215113931,5
27,112433$_$7,V,2,2,3,0.2335433520931925,1
28,112433$_$6,V,1,7,12,0.35315202663424317,3
28,112433$_$6,V,2,10,10,0.0627373724293227,peak
28,112433$_$6,V,3,13,13,0.0541736963776718,1
29,117tQqLjza4$_$6,V,1,3,6,0.530295793615195,5
29,117tQqLjza4$_$6,V,2,4,4,0.1451473317691146,peak
29,117tQqLjza4$_$6,V,3,3,3,0.139486990624882,1
30,11j7EfglCAs$_$2,V,1,6,11,0.5444653455557584,5
30,11j7EfglCAs$_$2,V,2,9,9,0.1038590329821448,peak
30,11j7EfglCAs$_$2,V,3,18,18,0.0401006620550428,1
31,121128$_$10,V,1,7,10,0.1776532137518681,5
31,121128$_$10,V,2,1,3,0.1231689088191332,1
31,121128$_$10,V,3,8,8,0.0568011958146486,1
32,121128$_$1,V,1,24,24,0.5165984715637245,1
32,121128$_$1,V,2,14,20,0.1592301530601195,5
32,121128$_$1,V,3,18,19,0.0483903790781753,1
33,121128$_$0,V,1,8,10,0.44922033428663566,1
33,121128$_$0,V,2,6,8,0.3505598597896838,5
34,121128$_$5,V,1,1,2,0.453248806153156,1
34,121128$_$5,V,2,3,5,0.43246547956113,5
35,125344$_$0,V,1,33,40,0.5364033510717454,5
35,125344$_$0,V,2,39,40,0.1555542145921525,1
35,125344$_$0,V,3,37,37,0.0816316375073867,1
36,125676$_$0,V,1,4,7,0.5710734056535026,3
36,125676$_$0,V,2,7,8,0.26384878323198613,1
36,125676$_$0,V,3,3,4,0.2326213893304525,1
37,125676$_$4,V,1,20,24,0.46897035149007016,5
37,125676$_$4,V,2,23,26,0.39322137970638277,1
37,125676$_$4,V,3,24,24,0.1718578467340711,peak
38,128059$_$11,V,1,19,27,0.3035512248184133,5
38,128059$_$11,V,2,16,18,0.0863077484229124,3
38,128059$_$11,V,3,33,34,0.057621818066542596,3
39,128059$_$12,V,1,4,7,0.3924117184653413,5
39,128059$_$12,V,2,5,5,0.1169451376255228,peak
39,128059$_$12,V,3,1,1,0.0398350663873394,1
40,128059$_$2,V,1,5,8,0.3631021865255259,3
40,128059$_$2,V,2,6,6,0.0933340512389507,peak
40,128059$_$2,V,3,10,10,0.0877320175369494,5
41,128059$_$7,V,1,26,32,0.0821721275202232,5
41,128059$_$7,V,2,10,13,0.047815658577168706,5
41,128059$_$7,V,3,36,38,0.0345529534632608,1
42,128059$_$6,V,1,39,44,0.1460403514387729,5
42,128059$_$6,V,2,18,21,0.09826166450186641,1
42,128059$_$6,V,3,36,38,0.07328778349906889,3
43,128059$_$9,V,1,7,12,0.3515190377114295,5
43,128059$_$9,V,2,16,18,0.16617210617717829,1
43,128059$_$9,V,3,8,8,0.0623054152837537,peak
44,128763$_$12,V,1,5,9,0.3661298844969316,5
44,128763$_$12,V,2,9,10,0.1451429182829016,3
44,128763$_$12,V,3,16,17,0.0896809892537114,1
45,128763$_$3,V,1,14,19,0.35180684165696496,5
45,128763$_$3,V,2,11,12,0.1107726903481592,3
45,128763$_$3,V,3,16,16,0.0639671548197459,peak
46,128763$_$2,V,1,1,3,0.10300796067745879,1
46,128763$_$2,V,2,5,6,0.10208099588609279,5
46,128763$_$2,V,3,9,10,0.0927766201848585,3
47,128763$_$5,V,1,4,6,0.20250417283443461,5
47,128763$_$5,V,2,3,4,0.1197805336978513,3
47,128763$_$5,V,3,7,7,0.0620837494363427,3
48,128763$_$7,V,1,12,14,0.2223660717660916,3
48,128763$_$7,V,2,14,16,0.1601319169105061,1
48,128763$_$7,V,3,11,12,0.1492475361301285,5
49,128763$_$8,V,1,4,5,0.3235008771815412,5
49,128763$_$8,V,2,7,8,0.20138401056387562,1
