sample_index,sample_id,main_modality,comparison,top_interval_overlap_iou,top20_jaccard,rank_spearman,baseline_agreement,multiscale_stability_threshold,sample_multiscale_stable,explanation_stability
0,-UacrmKiTn4$_$7,T,w1_vs_w2,0.16666666666666666,0.3333333333333333,0.2451282051282051,True,0.4094276094276094,True,High
0,-UacrmKiTn4$_$7,T,w2_vs_w3,1.0,1.0,0.563076923076923,True,0.4094276094276094,True,High
0,-UacrmKiTn4$_$7,T,w1_vs_w3,0.16666666666666666,0.3333333333333333,0.2027350427350427,True,0.4094276094276094,True,High
1,-qDkUB0GgYY$_$5,T,w1_vs_w2,0.3333333333333333,0.17647058823529413,0.07263252180836803,True,0.4094276094276094,False,Moderate
1,-qDkUB0GgYY$_$5,T,w2_vs_w3,0.0,0.42857142857142855,0.3840141133182578,True,0.4094276094276094,False,Moderate
1,-qDkUB0GgYY$_$5,T,w1_vs_w3,0.0,0.05263157894736842,0.052301595994981104,True,0.4094276094276094,False,Moderate
2,0utROiKxejc$_$1,T,w1_vs_w2,0.0,0.14285714285714285,0.2764705882352941,True,0.4094276094276094,False,Moderate
2,0utROiKxejc$_$1,T,w2_vs_w3,1.0,0.6,0.7058823529411764,True,0.4094276094276094,False,Moderate
2,0utROiKxejc$_$1,T,w1_vs_w3,0.0,0.0,0.2588235294117647,True,0.4094276094276094,False,Moderate
3,0utROiKxejc$_$4,T,w1_vs_w2,0.3333333333333333,0.2727272727272727,0.6260997067448679,True,0.4094276094276094,False,Moderate
3,0utROiKxejc$_$4,T,w2_vs_w3,1.0,0.5555555555555556,0.7456011730205278,True,0.4094276094276094,False,Moderate
3,0utROiKxejc$_$4,T,w1_vs_w3,0.3333333333333333,0.2727272727272727,0.27712609970674484,True,0.4094276094276094,False,Moderate
4,0y022OlZ3W0$_$3,T,w1_vs_w2,0.0,0.3333333333333333,0.2034313725490196,True,0.4094276094276094,False,Moderate
4,0y022OlZ3W0$_$3,T,w2_vs_w3,0.16666666666666666,0.3333333333333333,0.6642156862745099,True,0.4094276094276094,False,Moderate
4,0y022OlZ3W0$_$3,T,w1_vs_w3,0.0,0.3333333333333333,0.029411764705882353,True,0.4094276094276094,False,Moderate
5,0y022OlZ3W0$_$5,T,w1_vs_w2,0.0,0.42857142857142855,0.383399209486166,True,0.4094276094276094,False,Moderate
5,0y022OlZ3W0$_$5,T,w2_vs_w3,1.0,0.25,0.339356295878035,True,0.4094276094276094,False,Moderate
5,0y022OlZ3W0$_$5,T,w1_vs_w3,0.0,0.25,0.1981931112365895,True,0.4094276094276094,False,Moderate
6,0y022OlZ3W0$_$8,T,w1_vs_w2,0.6666666666666666,0.5,0.2857142857142857,True,0.4094276094276094,True,High
6,0y022OlZ3W0$_$8,T,w2_vs_w3,0.75,0.5,0.6318681318681317,True,0.4094276094276094,True,High
6,0y022OlZ3W0$_$8,T,w1_vs_w3,0.5,0.5,0.33516483516483514,True,0.4094276094276094,True,High
7,101787$_$11,T,w1_vs_w2,0.75,1.0,0.7472747497219132,True,0.4094276094276094,True,High
7,101787$_$11,T,w2_vs_w3,0.5,0.7142857142857143,0.8278086763070076,True,0.4094276094276094,True,High
7,101787$_$11,T,w1_vs_w3,0.6,0.7142857142857143,0.5141268075639599,True,0.4094276094276094,True,High
8,101787$_$13,V,w1_vs_w3,1.0,0.6,0.7140350877192982,False,0.4094276094276094,True,Moderate
8,101787$_$13,V,w3_vs_w5,1.0,0.3333333333333333,0.8421052631578947,False,0.4094276094276094,True,Moderate
8,101787$_$13,V,w1_vs_w5,1.0,0.6,0.5824561403508772,False,0.4094276094276094,True,Moderate
9,101787$_$1,T,w1_vs_w2,0.5,0.5,0.47857142857142854,False,0.4094276094276094,False,Low
9,101787$_$1,T,w2_vs_w3,0.5,0.5,0.25,False,0.4094276094276094,False,Low
9,101787$_$1,T,w1_vs_w3,0.25,0.2,-0.125,False,0.4094276094276094,False,Low
10,101787$_$5,T,w1_vs_w2,0.25,0.14285714285714285,0.411764705882353,True,0.4094276094276094,False,Moderate
10,101787$_$5,T,w2_vs_w3,1.0,0.6,0.7058823529411765,True,0.4094276094276094,False,Moderate
10,101787$_$5,T,w1_vs_w3,0.25,0.14285714285714285,0.03431372549019608,True,0.4094276094276094,False,Moderate
11,101787$_$7,T,w1_vs_w2,0.5,0.3333333333333333,0.4285714285714286,True,0.4094276094276094,True,High
11,101787$_$7,T,w2_vs_w3,1.0,1.0,0.9523809523809524,True,0.4094276094276094,True,High
11,101787$_$7,T,w1_vs_w3,0.5,0.3333333333333333,0.4285714285714286,True,0.4094276094276094,True,High
12,101787$_$9,T,w1_vs_w2,0.5,0.14285714285714285,0.07946336429308565,False,0.4094276094276094,False,Low
12,101787$_$9,T,w2_vs_w3,0.16666666666666666,0.3333333333333333,0.3003095975232198,False,0.4094276094276094,False,Low
12,101787$_$9,T,w1_vs_w3,0.0,0.14285714285714285,0.09184726522187822,False,0.4094276094276094,False,Low
13,102408$_$2,T,w1_vs_w2,0.5,0.3333333333333333,0.39285714285714296,True,0.4094276094276094,False,Moderate
13,102408$_$2,T,w2_vs_w3,0.3333333333333333,0.3333333333333333,0.07142857142857144,True,0.4094276094276094,False,Moderate
13,102408$_$2,T,w1_vs_w3,0.5,0.3333333333333333,-0.14285714285714288,True,0.4094276094276094,False,Moderate
14,102408$_$5,A,w1_vs_w3,0.8333333333333334,0.3333333333333333,0.6369458128078815,False,0.4094276094276094,True,Moderate
14,102408$_$5,A,w3_vs_w5,0.8571428571428571,1.0,0.9492610837438422,False,0.4094276094276094,True,Moderate
14,102408$_$5,A,w1_vs_w5,0.7142857142857143,0.3333333333333333,0.5669950738916255,False,0.4094276094276094,True,Moderate
