sample_index,sample_id,modality,rank,start_aligned_position,end_aligned_position,score,source_scale,classification_effect,regression_effect,raw_evidence,start_s,end_s,representative_time_s,mapping_status,frame_index,frame_path
1,01,A,1,16,21,0.5966183841528158,5,-0.06181640625,0.1171647411584849,,5.38,7.52,6.76,PASS,,
1,01,A,2,18,18,0.23339054424358519,peak,0.019596354166666666,0.023528654774029878,,6.56,6.96,6.76,PASS,,
1,01,A,3,12,12,0.0710599998473018,1,-0.045540364583333326,0.00736002345879878,,4.08,4.56,4.32,PASS,,
2,02,A,1,7,11,0.46786314024495124,5,0.4720540364583333,0.3399773700038582,,1.22,1.9,1.89,PASS,,
2,02,A,2,5,7,0.2803461630786277,3,0.31689453125,0.18380543241898153,,0.92,1.2933333333333332,1.2566666666666666,PASS,,
2,02,A,3,11,12,0.19713671054211213,1,0.24106445312499997,0.1180078750848766,,1.88,1.92,1.89,PASS,,
3,03,A,1,24,28,0.5286422031763071,5,-0.25921223958333334,0.15958334714174208,,5.7,7.24,6.31,PASS,,
3,03,A,2,25,25,0.17969119961183022,peak,-0.022233072916666666,0.03580078512430173,,6.1,6.52,6.31,PASS,,
3,03,A,3,15,19,0.17216081307950926,3,-0.96875,0.34069008181492594,,2.86,4.62,3.9299999999999997,PASS,,
4,04,A,1,16,19,0.10469808560120582,3,-4.51298828125,1.7287043555577606,,3.38,4.109999999999999,3.87,PASS,,
4,04,A,2,7,9,0.0782979260146263,3,-2.8545247395833337,1.2928026807308202,,1.26,1.9,1.555,PASS,,
4,04,A,3,15,16,0.050802400973297246,1,-2.135856119791667,0.8388150684038802,,3.14,3.6,3.49,PASS,,
5,05,A,1,10,12,0.26088869442294127,3,0.6253906249999999,0.0970573703447983,,3.8099999999999996,4.58,3.9549999999999996,PASS,,
5,05,A,2,3,3,0.08057171099834441,1,-0.03326822916666666,0.07583331008752173,,1.86,2.1,1.98,PASS,,
5,05,A,3,5,5,0.07524286785409426,1,0.13561197916666667,0.038932301799456295,,2.24,2.5,2.37,PASS,,
6,06,A,1,21,29,0.6889795538860616,5,0.39501953125,0.35027321517467624,,3.88,6.28,6.02,PASS,,
6,06,A,2,27,27,0.11338414803508472,peak,0.09993489583333333,0.04848955651124335,,5.94,6.1,6.02,PASS,,
6,06,A,3,1,1,0.032426616393943064,1,0.025455729166666666,0.01769529879093177,,0.0,0.6,0.3,PASS,,
7,07,A,1,18,25,0.4065644836912279,3,0.4358723958333333,0.19375035166740506,,4.2,8.76,7.05,PASS,,
7,07,A,2,41,44,0.1371697314649606,3,0.17998046875,0.04031264503796924,,12.626666666666667,14.22,13.965,PASS,,
7,07,A,3,22,22,0.06896149026910076,peak,0.08050130208333334,0.028255253036817047,,6.68,7.42,7.05,PASS,,
8,08,A,1,2,4,0.44232728590503556,3,0.36966145833333336,0.2121483707427982,,0.78,1.42,0.9,PASS,,
8,08,A,2,1,2,0.30073209304870496,1,0.2817057291666667,0.12600257198015868,,0.58,1.02,0.6799999999999999,PASS,,
8,08,A,3,9,9,0.04659976333718186,1,0.014713541666666666,0.020911444624265123,,2.36,3.04,2.7,PASS,,
9,09,A,1,11,15,0.23870491487966192,5,-1.6560546875,0.3379163662592594,,2.1,2.98,2.9299999999999997,PASS,,
9,09,A,2,1,5,0.14790281497438237,1,-1.4126953125,0.20937474966049452,,0.6799999999999995,1.16,0.6974999999999996,PASS,,
9,09,A,3,15,15,0.056144228764445504,1,-0.3582682291666666,0.07947910825411525,,2.88,2.98,2.9299999999999997,PASS,,
10,10,A,1,22,26,0.14498474629363528,3,-1.1255859375,0.34479135374228465,,5.3,7.14,5.81,PASS,,
10,10,A,2,9,11,0.07682876570132587,3,-0.6153645833333332,0.18270814557870385,,2.22,2.82,2.56,PASS,,
10,10,A,3,27,28,0.03920281235794128,1,-0.35716145833333335,0.09322905401388917,,7.14,7.78,7.26,PASS,,
11,11,A,1,7,10,0.6956574798348807,5,0.034570312500000006,0.12843691229820042,,3.46,4.52,4.33,PASS,,
11,11,A,2,10,10,0.24128703767140114,peak,0.014388020833333334,0.031666534940401295,,4.14,4.52,4.33,PASS,,
11,11,A,3,7,7,0.15056044140488223,1,0.006315104166666667,0.030833181341488675,,3.46,3.66,3.56,PASS,,
12,12,A,1,33,35,0.29801044911376506,1,-0.026171874999999997,0.04124982655048286,,9.72,10.2,9.96,PASS,,
12,12,A,2,38,42,0.2407411114414477,5,-0.025455729166666666,0.08874967813491672,,11.24,12.3,12.200000000000001,PASS,,
12,12,A,3,22,27,0.14128241340936887,5,-1.1654296875,0.4739588161309586,,7.4,8.56,8.22,PASS,,
13,13,A,1,2,9,0.49658533171720654,5,-0.06663411458333333,0.058730712731680436,,0.12,1.7,1.01,PASS,,
13,13,A,2,5,6,0.2545113980260338,1,0.010677083333333334,0.013476634025574079,,0.94,1.2,1.01,PASS,,
13,13,A,3,11,13,0.118953900953729,3,-0.22799479166666664,0.05552745103836113,,2.04,4.0,3.2800000000000002,PASS,,
14,14,A,1,26,32,0.4964499842974878,5,0.22327473958333333,0.08259107073148048,,6.8100000000000005,8.8,8.23,PASS,,
14,14,A,2,29,29,0.1320772670873523,peak,0.06442057291666667,0.019921848177909703,,8.1,8.36,8.23,PASS,,
14,14,A,3,3,5,0.08980205518870106,3,-1.0320638020833335,0.2891732521851862,,0.68,0.96,0.9099999999999999,PASS,,
15,15,A,1,12,17,0.34047442400030936,5,2.262347412109375,1.23760464946429,,7.3143125,7.3143125,7.3143125,PASS,,
15,15,A,2,1,3,0.11274191762835416,1,0.7159586588541667,0.4291668329636258,,6.0,6.74,6.61,PASS,,
15,15,A,3,18,19,0.10391351043931087,1,0.6837076822916667,0.3816668115059537,,7.3143125,7.3143125,7.3143125,PASS,,
16,16,A,1,5,7,0.20901586886174567,3,-1.0752604166666666,0.34291669348875853,,0.78,1.1700000000000002,1.165,PASS,,
16,16,A,2,7,8,0.13650793365340125,1,-0.6786458333333334,0.22395835061868147,,1.1600000000000001,1.62,1.165,PASS,,
16,16,A,3,4,5,0.12457142688777184,1,-0.6334635416666667,0.20437501728534824,,0.62,1.12,0.9500000000000001,PASS,,
17,17,A,1,18,18,0.5089420218587939,1,-0.044596354166666664,0.03270818134148884,,7.6,7.8,7.699999999999999,PASS,,
17,17,A,2,5,10,0.2111776845313404,5,-1.3443033854166666,0.7724470047156016,,2.12,4.76,2.38,PASS,,
17,17,A,3,2,3,0.05286917333535386,1,-0.3771158854166667,0.1933851802349091,,0.98,1.68,1.5,PASS,,
18,18,A,1,24,30,0.2868619957072236,5,0.6009928385416666,0.3568238554398198,,7.846666666666667,9.82,8.719999999999999,PASS,,
18,18,A,2,13,17,0.1694422618956381,3,0.34951171875,0.21500067055225225,,3.94,6.68,4.6899999999999995,PASS,,
18,18,A,3,26,27,0.1076338039730715,1,0.23359375,0.1276304765542342,,8.14,8.78,8.719999999999999,PASS,,
19,19,A,1,21,26,0.35241061724424994,3,1.7637613932291665,0.6399088005224871,,7.26,9.32,8.94,PASS,,
19,19,A,2,8,11,0.1470116341952744,5,0.7474182128906249,0.2622916309038803,,2.96,3.88,3.27,PASS,,
19,19,A,3,7,8,0.0742253336683247,1,0.41767171223958327,0.11619789878527349,,2.66,3.12,3.04,PASS,,
20,20,A,1,33,40,0.26288634062029625,5,2.0605143229166663,0.9047911701599767,,8.33,9.28,9.149999999999999,PASS,,
20,20,A,2,39,43,0.1360166859582989,1,1.0352539062500001,0.4824216246604922,,9.1,9.72,9.149999999999999,PASS,,
20,20,A,3,21,23,0.07805290723778108,5,0.5512532552083333,0.296666478912036,,4.786666666666667,5.44,4.970000000000001,PASS,,
