sample_index,sample_id,cosine_similarity,relative_l2_error,max_abs_error
1,01,0.99999966199228,0.0008230214757418451,0.005714118480682373
2,02,0.9999996889594055,0.0007889335289185785,0.004160881042480469
3,03,0.9999993842282019,0.001110232040530161,0.0258331298828125
4,04,0.9999996360161456,0.0008536499545365755,0.003171682357788086
5,05,0.9999996786186096,0.0008035070825774069,0.005135059356689453
6,06,0.9999996721230444,0.000810863090138492,0.002703428268432617
7,07,0.9999996456086488,0.0008423843302705674,0.005165696144104004
8,08,0.999999572463736,0.0009261631006765653,0.003876209259033203
9,09,0.9999996438601818,0.0008497246236516123,0.00499405711889267
10,10,0.9999996812164997,0.0007988061724707813,0.0027849674224853516
11,11,0.9999997104073919,0.0007615627949025737,0.0017108917236328125
12,12,0.9999996221029511,0.0008696845024018373,0.008181571960449219
13,13,0.9999996864718652,0.0007933835773241463,0.007199287414550781
14,14,0.999999588193051,0.0009075744843249203,0.018749237060546875
15,15,0.9999996890423544,0.0007925542406273726,0.009343624114990234
16,16,0.9999996899114126,0.0007941471326489884,0.004149317741394043
17,17,0.9999991297934563,0.0013197136605349882,0.03137397766113281
18,18,0.9999996751357961,0.0008071122220170311,0.005044460296630859
19,19,0.9999996077851697,0.0008876276327217827,0.008689403533935547
20,20,0.9999993315696463,0.0011563103907474466,0.0474848747253418
