sample_index,sample_id,Text_contribution,Audio_contribution,Vision_contribution,main_modality,missing_aux_main_modality,baseline_agreement,native_zero_text,native_zero_audio,native_zero_vision
1,01,0.7259407641887933,0.08625582509768318,0.18780341071352352,T,A,False,False,False,False
2,02,0.5729443672904224,0.09786830874799365,0.32918732396158396,T,T,True,False,False,False
3,03,0.8747961921107839,0.014087155306211225,0.11111665258300489,T,V,False,False,False,False
4,04,0.7271059413851091,0.23208129690472476,0.040812761710166186,T,T,True,False,False,False
5,05,0.5036996734517584,0.08108567182665698,0.4152146547215847,T,V,False,False,False,False
6,06,0.33928216905774117,0.15067516310094003,0.5100426678413188,V,T,False,False,False,False
7,07,0.47590666966094497,0.20803860363898768,0.3160547267000674,T,T,True,False,False,False
8,08,0.27913176827537045,0.03457697750624265,0.686291254218387,V,T,False,False,False,False
9,09,0.8939002509069831,0.04767963821734511,0.05842011087567182,T,T,True,False,False,False
10,10,0.8613732072372391,0.0751859567241071,0.06344083603865389,T,T,True,False,False,False
11,11,0.9103713472729487,0.01375272144909834,0.07587593127795299,T,T,True,False,False,False
12,12,0.7059148203348877,0.041258769264255764,0.2528264104008566,T,T,True,False,False,False
13,13,0.8601681485334325,0.1398318514665675,0.0,T,T,True,False,False,True
14,14,0.6617539702277311,0.10415125510997833,0.23409477466229053,T,T,True,False,False,False
15,15,0.32953194312945056,0.5887391602466476,0.08172889662390176,A,T,False,False,False,False
16,16,0.930328848981123,0.02009203239796792,0.049579118620909135,T,T,True,False,False,False
17,17,0.7748168525808516,0.12909241976502678,0.09609072765412158,T,T,True,False,False,False
18,18,0.700081627747855,0.06830548586589771,0.23161288638624739,T,T,True,False,False,False
19,19,0.5112989292232069,0.10106506426484138,0.38763600651195174,T,T,True,False,False,False
20,20,0.1642545528473481,0.5626674704765083,0.27307797667614353,A,T,False,False,False,False
