sample_index,sample_id,modality,rank,start_aligned_position,end_aligned_position,score,source_scale,classification_effect,regression_effect,raw_evidence,start_s,end_s,representative_time_s,mapping_status,frame_index,frame_path
1,01,T,1,17,20,0.39095802189068485,2,1.1005045572916667,0.35094404965639114,to its mileage requirements,6.56,8.14,7.234999999999999,PASS,,
1,01,T,2,0,1,0.1746567192097475,2,0.144287109375,0.18269858385125795,replacing these,0.0,1.16,0.46,PASS,,
1,01,T,3,19,19,0.1608424379592645,peak,0.7110188802083333,0.09347331896424294,mileage,7.14,7.52,7.234999999999999,PASS,,
2,02,T,1,15,18,0.4673535426832175,3,8.771809895833332,4.025716284910838,’ s misery .,2.3000000000000003,2.6,2.495,PASS,,
2,02,T,2,17,17,0.21532591221666275,1,6.0760498046875,1.3851888229449592,misery,2.46,2.5300000000000002,2.495,PASS,,
2,02,T,3,9,10,0.10715829907464708,2,-6.01806640625,2.6551432088017464,happiness -,1.44,1.9,1.54,PASS,,
3,03,T,1,20,22,0.24407868973319485,3,-1.28179931640625,0.6200724206864834,income into account,5.38,6.52,6.31,PASS,,
3,03,T,2,15,18,0.1816726942220871,1,-6.778889973958333,1.326839213569959,don ' t take,4.3,5.0,4.38,PASS,,
3,03,T,3,11,13,0.13060335826414762,3,-1.9384155273437502,0.49445800110697746,is just bankwest,2.52,3.56,3.035,PASS,,
4,04,T,1,18,24,0.374382404498469,3,33.93733723958333,14.683561513821285,"blue "" goodbye ? ] absolutely not",3.96,5.9799999999999995,5.859999999999999,PASS,,
4,04,T,2,23,24,0.12960936588097044,1,12.237147013346355,4.859358867009481,absolutely not,5.72,5.9799999999999995,5.859999999999999,PASS,,
4,04,T,3,9,9,0.04159170985473532,1,3.534912109375,1.7392415702342987,should,2.16,2.32,2.24,PASS,,
5,05,T,1,0,2,0.4015531730902485,3,-0.08170572916666666,0.5537109424670537,"hi , my",0.8399999999999994,2.1,1.98,PASS,,
5,05,T,2,2,3,0.2872160934973725,1,-2.0842692057291665,0.7855468491713207,my name,1.86,2.24,1.98,PASS,,
5,05,T,3,5,6,0.10324557706078194,2,-0.3063151041666667,0.22467443346977234,"chloe ,",2.5,2.66,2.54,PASS,,
6,06,T,1,26,30,0.2158723020785496,3,5.234446207682292,0.9441080242395401,want to check out this,5.94,6.48,6.33,PASS,,
6,06,T,2,6,8,0.09854815340693607,3,2.226806640625,0.46116537849108374,of dancing in,0.96,1.6,1.02,PASS,,
6,06,T,3,14,16,0.09565548935444237,2,0.67919921875,0.6667317698399227,to watch people,2.48,3.1,2.55,PASS,,
7,07,T,1,21,25,0.15043420186612005,3,9.478515625,1.957812676827113,"of growing the hobby ,",8.06,9.5,9.335,PASS,,
7,07,T,2,15,18,0.14074411035758455,2,9.227376302083332,1.7574220697085063,attendees “ enthusiastically discussed,5.12,7.42,6.05,PASS,,
7,07,T,3,10,11,0.05318683232781778,3,3.3419596354166665,0.6940755645434061,our november,2.96,3.36,3.0300000000000002,PASS,,
8,08,T,1,8,10,0.5644377328001093,3,3.7125651041666665,0.8856281836827595,design grand challenge,2.36,4.16,3.89,PASS,,
8,08,T,2,2,2,0.09713426196265668,2,-0.6337076822916667,0.2904622256755829,us,1.02,1.22,1.12,PASS,,
8,08,T,3,7,7,0.09234240770012189,1,-0.015624999999999972,0.21842444439729056,universal,1.96,2.36,2.16,PASS,,
9,09,T,1,5,8,0.38148708560742794,3,1.576497395833333,1.7458337942759197,not like this movie,1.3,2.1,1.67,PASS,,
9,09,T,2,0,3,0.32311952920918197,1,1.4986979166666665,1.2789067824681601,( uhh ) i,0.6799999999999995,1.16,0.6974999999999996,PASS,,
9,09,T,3,7,7,0.1054082418693067,peak,0.46549479166666663,0.4458335041999817,this,1.58,1.76,1.67,PASS,,
10,10,T,1,13,16,0.20703424461784375,2,37.81151580810547,18.70738919576009,chick flicks sometimes so,3.5,5.18,3.87,PASS,,
10,10,T,2,2,5,0.20033727967130335,3,36.759175618489586,18.01781439781189,) and you know,0.013333333333333334,1.6,1.52,PASS,,
10,10,T,3,1,2,0.09841726418965882,1,18.082377115885414,8.839453399181366,umm ),0.006666666666666667,0.02,0.016666666666666666,PASS,,
11,11,T,1,2,4,0.532278958806855,2,25.065734863281254,10.617350379625957,be ashamed to,0.76,3.32,1.07,PASS,,
11,11,T,2,7,8,0.18106818218523685,1,8.6446533203125,3.5694006681442265,this film,3.66,4.14,4.0,PASS,,
11,11,T,3,13,13,0.025977283166061814,1,1.3323567708333333,0.47552082935969037,director,4.86,5.06,4.96,PASS,,
12,12,T,1,36,40,0.23052459164981395,2,2.500081380208333,1.0971349875132244,scores is very low .,11.24,12.3,12.0,PASS,,
12,12,T,2,17,20,0.1555439134528777,2,1.8341471354166667,0.6651041706403097,"own , or perhaps",6.06,7.4,6.154999999999999,PASS,,
12,12,T,3,24,26,0.11470508076623855,3,1.3658854166666667,0.48606759309768677,"their own ,",8.14,8.56,8.365,PASS,,
13,13,T,1,0,6,0.435380911460162,2,3.559895833333333,0.2929198816418648,"for example , i could take a",0.0,1.38,1.01,PASS,,
13,13,T,2,3,4,0.15093789310208905,1,1.1388346354166667,0.10883786529302597,i could,0.9199999999999999,1.08,1.01,PASS,,
13,13,T,3,0,1,0.13829799042836965,1,1.1437174479166665,0.09205729266007741,for example,0.0,0.42,0.27,PASS,,
14,14,T,1,6,10,0.3321907463040795,2,4.317057291666667,1.000683476527532,of rossen and vettese limited,1.22,2.64,1.635,PASS,,
