token_index,token,attention_mask,is_special,ref_word_index,ref_word,word_start_sec,word_end_sec,token_start_sec,token_end_sec,subword_rank,subword_count,sample_index,sample_id,mapping_status,video_duration_s
0,[CLS],1,1,-1,,,,,,-1,0,1,01,PASS,8.986125
1,replacing,1,0,0,Replacing,0.0,0.92,0.0,0.92,0,1,1,01,PASS,8.986125
2,these,1,0,1,these,0.92,1.16,0.92,1.16,0,1,1,01,PASS,8.986125
3,wear,1,0,2,wear,1.16,1.4,1.16,1.4,0,1,1,01,PASS,8.986125
4,components,1,0,3,components,1.4,1.86,1.4,1.86,0,1,1,01,PASS,8.986125
5,when,1,0,4,when,1.86,2.1,1.86,2.1,0,1,1,01,PASS,8.986125
6,replacing,1,0,5,replacing,2.1,2.52,2.1,2.52,0,1,1,01,PASS,8.986125
7,the,1,0,6,the,2.52,2.72,2.52,2.72,0,1,1,01,PASS,8.986125
8,timing,1,0,7,timing,2.72,2.94,2.72,2.94,0,1,1,01,PASS,8.986125
9,belt,1,0,8,belt,2.94,3.24,2.94,3.24,0,1,1,01,PASS,8.986125
10,is,1,0,9,is,3.24,3.68,3.24,3.68,0,1,1,01,PASS,8.986125
11,essential,1,0,10,essential,3.68,4.08,3.68,4.08,0,1,1,01,PASS,8.986125
12,to,1,0,11,to,4.08,4.56,4.08,4.56,0,1,1,01,PASS,8.986125
13,ensuring,1,0,12,ensuring,4.56,4.94,4.56,4.94,0,1,1,01,PASS,8.986125
14,the,1,0,13,the,4.94,5.2,4.94,5.2,0,1,1,01,PASS,8.986125
15,new,1,0,14,new,5.2,5.38,5.2,5.38,0,1,1,01,PASS,8.986125
16,belt,1,0,15,belt,5.38,5.74,5.38,5.74,0,1,1,01,PASS,8.986125
17,performs,1,0,16,performs,5.74,6.56,5.74,6.56,0,1,1,01,PASS,8.986125
18,to,1,0,17,to,6.56,6.96,6.56,6.96,0,1,1,01,PASS,8.986125
19,its,1,0,18,its,6.96,7.14,6.96,7.14,0,1,1,01,PASS,8.986125
20,mile,1,0,19,mileage,7.14,7.52,7.14,7.33,0,2,1,01,PASS,8.986125
21,##age,1,0,19,mileage,7.14,7.52,7.33,7.52,1,2,1,01,PASS,8.986125
22,requirements,1,0,20,requirements,7.52,8.14,7.52,8.14,0,1,1,01,PASS,8.986125
