modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score,rank,start_position,end_position,readable_evidence,start_s,end_s,representative_time_s,frame_path,duration_s,evidence_semantics,display_eligible,timestamp_status,display_reason,final_display_rank
A,4,17,20,18|19|20|21,1,01,missing,0.551807701587677,0.089354205520451,0.017188549041748,0.0310543680414557,0.017188549041748,0.0223642770486573,0.0901769528255286,1,18,21,,6.56,7.52,7.039999999999999,,0.96,missing_aware_local_sensitivity,True,PASS,,1.0
A,2,20,21,21|22,1,01,missing,0.5648611783981323,0.0683909934848547,0.0041350722312927,0.0100911560058593,0.0041350722312927,0.0058169315656026,0.0234549573071116,2,21,22,,7.33,8.14,7.735,,0.8100000000000005,missing_aware_local_sensitivity,True,PASS,,2.0
A,1,19,19,20,1,01,missing,0.5654019713401794,0.0678960594028234,0.0035942792892456,0.0095962219238281,0.0035942792892456,0.0051936496098836,0.0209417677505885,3,20,20,,7.14,7.33,7.234999999999999,,0.1900000000000004,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,1,4,2|3|4|5,1,01,missing,0.5021103620529175,0.0712616151884198,0.0668858885765075,0.0129617777094244,0.0668858885765075,0.0690461848614116,0.06242944749208,1,2,5,these wear components when,0.92,2.1,1.51,,1.1800000000000002,missing_aware_local_sensitivity,True,PASS,,1.0
T,4,4,7,5|6|7|8,1,01,missing,0.5339658856391907,0.0498199695587158,0.0350303649902343,0.0084798679202795,0.0350303649902343,0.0364436763102809,0.0329512569187958,2,5,8,when replacing the timing,1.86,2.94,2.4,,1.0799999999999998,missing_aware_local_sensitivity,True,PASS,,2.0
T,1,4,4,5,1,01,missing,0.5426196455955505,0.0609504884794354,0.0263766050338745,0.0026506510004401,0.0263766050338745,0.0268183802006145,0.0242483587169579,3,5,5,when,1.86,2.1,1.98,,0.24,missing_aware_local_sensitivity,True,PASS,,3.0
T,1,20,20,22,1,01,missing,0.551311194896698,0.0729168866738677,0.017685055732727,0.0146170491948723,0.017685055732727,0.0201212305985391,0.018193000984035,4,22,22,requirements,7.52,8.14,7.83,,0.620000000000001,missing_aware_local_sensitivity,True,PASS,,4.0
T,4,7,10,8|9|10|11,1,01,missing,0.5520755052566528,0.0413882168732583,0.0169207453727722,0.0169116206057369,0.0169207453727722,0.0197393488070617,0.0178477151540204,5,8,11,timing belt is essential,2.72,4.08,3.4000000000000004,,1.3599999999999999,missing_aware_local_sensitivity,True,PASS,,5.0
V,1,12,12,13,1,01,missing,0.5642313361167908,0.0642170480504632,0.0047649145126342,0.0059172105714678,0.0047649145126342,0.0057511162745455,0.0719529116530063,1,13,13,,4.56,4.94,4.75,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank01.png,0.3800000000000008,missing_aware_local_sensitivity,True,PASS,,1.0
V,4,10,13,11|12|13|14,1,01,missing,0.5674905180931091,0.0669501880645752,0.0015057325363159,0.0086503505855798,0.0015057325363159,0.0029474576339125,0.0368759991295162,2,11,14,,3.68,5.2,4.44,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank02.png,1.52,missing_aware_local_sensitivity,True,PASS,,2.0
V,4,17,20,18|19|20|21,1,01,missing,0.5898956656455994,0.0440567344516516,-0.0208994150161743,0.0142431030273437,0.0,0.0023738505045572,0.0296995309219949,3,18,21,,6.56,7.52,7.039999999999999,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank03.png,0.96,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,2,5,3|4|5|6,2,02,missing,0.3867909014225006,-0.1685999427944421,0.0076020956039428,0.012582313477993,0.0076020956039428,0.009699147850275,0.0371022213481776,1,3,6,,0.72,1.22,0.97,,0.5,missing_aware_local_sensitivity,True,PASS,,1.0
A,3,0,2,1|2|3,2,02,missing,0.3866398632526397,-0.1913338961660861,0.0077531337738037,0.010151639893651,0.0077531337738037,0.0094450737560788,0.0361303098537635,2,1,3,,0.0,0.8,0.4,,0.8,missing_aware_local_sensitivity,True,PASS,,2.0
A,4,11,14,12|13|14|15,2,02,missing,0.3864686489105224,-0.1749680839091539,0.007924348115921,0.0062141723632812,0.007924348115921,0.0089600435098012,0.0342749200983177,3,12,15,,1.9,2.3000000000000003,2.1,,0.40000000000000036,missing_aware_local_sensitivity,True,PASS,,3.0
T,4,7,10,8|9|10|11,2,02,missing,0.2544865608215332,-0.3167062145233154,0.1399064362049102,0.1355239582508802,0.1399064362049102,0.162493762580057,0.0520111134452403,1,8,11,’ s happiness -,1.2933333333333332,1.9,1.596666666666667,,0.6066666666666667,missing_aware_local_sensitivity,True,PASS,,1.0
T,1,9,9,10,2,02,missing,0.3047163784503937,-0.2780573727250099,0.0896766185760498,0.0968751164525747,0.0896766185760498,0.1058224713181456,0.0338717282029339,2,10,10,happiness,1.44,1.64,1.54,,0.19999999999999996,missing_aware_local_sensitivity,True,PASS,,2.0
T,1,18,18,19,2,02,missing,0.3250534236431122,-0.2942032008528709,0.0693395733833313,0.1130209445804357,0.0693395733833313,0.0881763974800706,0.0282235609521877,3,19,19,.,2.53,2.6,2.565,,0.07000000000000028,missing_aware_local_sensitivity,True,PASS,,3.0
T,3,1,3,2|3|4,2,02,missing,0.3235363960266113,-0.2225367484599351,0.0708566009998321,0.0413544921875,0.0708566009998321,0.0777490163644154,0.0248859577511054,4,2,4,want to live,0.58,0.92,0.75,,0.3400000000000001,missing_aware_local_sensitivity,True,PASS,,4.0
T,1,17,17,18,2,02,missing,0.6104155778884888,0.1813294490516186,-0.2160225808620453,0.3625117053240537,0.0,0.0604186175540089,0.0193388319767532,5,18,18,misery,2.46,2.53,2.495,,0.06999999999999984,missing_aware_local_sensitivity,True,PASS,,5.0
V,4,0,3,1|2|3|4,2,02,missing,0.3830174803733825,-0.2140458712637424,0.0113755166530609,0.0328636149913072,0.0113755166530609,0.0168527858182787,0.0503329638416793,1,1,4,,0.0,0.92,0.46,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank01.png,0.92,missing_aware_local_sensitivity,True,PASS,,1.0
V,4,6,9,7|8|9|10,2,02,missing,0.3819946944713592,-0.2021344657450914,0.0123983025550842,0.0209522094726562,0.0123983025550842,0.0158903374671936,0.047458490827128,2,7,10,,1.22,1.64,1.43,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank02.png,0.41999999999999993,missing_aware_local_sensitivity,True,PASS,,2.0
V,1,2,2,3,2,02,missing,0.3896418809890747,-0.1952383761465549,0.0047511160373687,0.0140561198741197,0.0047511160373687,0.0070938026830554,0.0211865336565881,3,3,3,,0.72,0.8,0.76,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank03.png,0.08000000000000007,missing_aware_local_sensitivity,True,PASS,,3.0
A,4,20,23,21|22|23|24,3,03,missing,0.5286235213279724,-0.010006562927179,0.0092752575874328,0.0288010386200621,0.0092752575874328,0.0140754306907765,0.042751548040142,1,21,24,,4.78,6.1,5.44,,1.3199999999999994,missing_aware_local_sensitivity,True,PASS,,1.0
A,4,15,18,16|17|18|19,3,03,missing,0.5322521924972534,-0.0477947789154946,0.0056465864181518,0.0089871773682534,0.0056465864181518,0.0071444493128607,0.0216999589376171,2,16,19,,3.21,4.62,3.915,,1.4100000000000001,missing_aware_local_sensitivity,True,PASS,,2.0
A,4,23,26,24|25|26|27,3,03,missing,0.5457738041877747,-0.0015101953580975,-0.0078750252723693,0.0372974061891436,0.0,0.0062162343648572,0.0188806756905934,3,24,27,,5.7,6.96,6.33,,1.2599999999999998,missing_aware_local_sensitivity,True,PASS,,3.0
