sample_index,sample_id,max_abs_error,mean_abs_error,correlation
1,01,1.1265277862548828e-05,5.876508161072202e-07,0.9999999999989023
2,02,7.62939453125e-06,5.816574809527776e-07,0.999999999998999
3,03,2.9087066650390625e-05,6.973176745023444e-07,0.9999999999984805
4,04,1.150369644165039e-05,6.663786818012205e-07,0.9999999999986157
5,05,6.794929504394531e-06,6.307585780917839e-07,0.9999999999989014
6,06,1.2636184692382812e-05,6.110332943844778e-07,0.9999999999989069
7,07,1.0013580322265625e-05,5.691184200884436e-07,0.9999999999989115
8,08,8.821487426757812e-06,7.564970771749101e-07,0.9999999999984394
9,09,5.595386028289795e-06,6.256480394502736e-07,0.9999999999989027
10,10,1.0013580322265625e-05,6.519810722416253e-07,0.9999999999988647
11,11,8.821487426757812e-06,5.630416255823315e-07,0.9999999999989936
12,12,1.5795230865478516e-05,6.656396455981346e-07,0.999999999998588
13,13,1.7642974853515625e-05,6.34012672695583e-07,0.999999999998794
14,14,1.0013580322265625e-05,5.926868757699355e-07,0.9999999999989947
15,15,6.4373016357421875e-06,5.259003216803444e-07,0.9999999999990319
16,16,8.344650268554688e-06,6.259137093750794e-07,0.9999999999988614
17,17,2.765655517578125e-05,6.510360228125988e-07,0.9999999999983983
18,18,1.1444091796875e-05,6.0542227808232e-07,0.9999999999988847
19,19,8.344650268554688e-06,6.588079878200947e-07,0.9999999999987823
20,20,5.817413330078125e-05,6.328948930497854e-07,0.9999999999984202
