modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
A,1,0,0,1,1,01,missing,0.5741439461708069,0.04627294197082522,-0.005147695541381836,0.012026895508170134,0.0,0.002004482584695022,0.008082449125735932
A,1,1,1,2,1,01,missing,0.5722836852073669,0.06015859260559084,-0.0032874345779418945,0.0018587551265954877,0.0,0.00030979252109924793,0.0012491414544761972
A,1,2,2,3,1,01,missing,0.5728585124015808,0.06016409053057434,-0.0038622617721557617,0.0018642530515789874,0.0,0.0003107088419298312,0.001252836231648416
A,1,3,3,4,1,01,missing,0.5774670243263245,0.04823067988604309,-0.008470773696899414,0.010069157592952259,0.0,0.0016781929321587098,0.006766788148177454
A,1,4,4,5,1,01,missing,0.5730850696563721,0.06153890742510559,-0.0040888190269470215,0.003239069946110243,0.0,0.0005398449910183739,0.002176756091075364
A,1,5,5,6,1,01,missing,0.5723119974136353,0.06560286750793459,-0.003315746784210205,0.007303030028939242,0.0,0.0012171716714898737,0.004907864097806898
A,1,6,6,7,1,01,missing,0.5746051073074341,0.057309969314932846,-0.005608856678009033,0.0009898681640625046,0.0,0.00016497802734375075,0.0006652222987874026
A,1,7,7,8,1,01,missing,0.5787132978439331,0.051722714798152464,-0.009717047214508057,0.006577122680842887,0.0,0.0010961871134738145,0.004420031705233019
A,1,8,8,9,1,01,missing,0.5782721042633057,0.060301572220027466,-0.009275853633880615,0.0020017347410321157,0.0,0.00033362245683868597,0.0013452282175911128
A,1,9,9,10,1,01,missing,0.5717002153396606,0.0590147422641516,-0.0027039647102355957,0.0007149047851562479,0.0,0.00011915079752604131,0.0004804383269020094
A,1,10,10,11,1,01,missing,0.5733691453933716,0.07084367219507696,-0.004372894763946533,0.012543834716081614,0.0,0.0020906391193469356,0.008429848406473383
A,1,11,11,12,1,01,missing,0.572591245174408,0.058035876663029215,-0.00359499454498291,0.0002639608159661355,0.0,4.399346932768925e-05,0.00017738990621351421
A,1,12,12,13,1,01,missing,0.5726414918899536,0.05920171870440247,-0.0036452412605285645,0.0009018812254071168,0.0,0.0001503135375678528,0.0006060923300495583
A,1,13,13,14,1,01,missing,0.5699622631072998,0.0608899911656976,-0.0009660124778747559,0.0025901536867022484,0.0,0.0004316922811170414,0.0017406641128948723
A,1,14,14,15,1,01,missing,0.5738376379013062,0.0606645225375891,-0.0048413872718811035,0.0023646850585937462,0.0,0.000394114176432291,0.001589142158214341
A,1,15,15,16,1,01,missing,0.5683987140655518,0.06519592036455872,0.000597536563873291,0.0068960828855633705,0.000597536563873291,0.001746883711467186,0.007043762232864942
A,1,16,16,17,1,01,missing,0.5708827972412109,0.06423354853838685,-0.0018865466117858887,0.0059337110593915,0.0,0.0009889518432319166,0.003987639015552178
A,1,17,17,18,1,01,missing,0.565392017364502,0.06512442720085385,0.0036042332649230957,0.0068245897218584956,0.0036042332649230957,0.004741664885232845,0.01911928070555621
A,1,18,18,19,1,01,missing,0.566710352897644,0.061560899125039606,0.002285897731781006,0.0032610616460442554,0.002285897731781006,0.002829408006121715,0.011408702894222503
