sample_index,sample_id,baseline,classification_efficiency_residual,regression_efficiency_residual
1,01,missing,0.0,2.7755575615628914e-17
2,02,missing,2.7755575615628914e-17,0.0
3,03,missing,2.7755575615628914e-17,0.0
4,04,missing,5.551115123125783e-17,1.249000902703301e-16
5,05,missing,0.0,0.0
6,06,missing,0.0,1.1102230246251565e-16
7,07,missing,0.0,0.0
8,08,missing,0.0,5.551115123125783e-17
9,09,missing,1.1102230246251565e-16,2.220446049250313e-16
10,10,missing,0.0,2.220446049250313e-16
11,11,missing,1.1102230246251565e-16,0.0
12,12,missing,0.0,0.0
13,13,missing,0.0,5.551115123125783e-17
14,14,missing,0.0,1.1102230246251565e-16
15,15,missing,0.0,0.0
16,16,missing,1.1102230246251565e-16,2.220446049250313e-16
17,17,missing,0.0,0.0
18,18,missing,0.0,0.0
19,19,missing,0.0,0.0
20,20,missing,0.0,0.0
1,01,zero,8.326672684688674e-17,5.551115123125783e-17
2,02,zero,0.0,0.0
3,03,zero,0.0,0.0
4,04,zero,0.0,1.5265566588595902e-16
5,05,zero,0.0,1.1102230246251565e-16
6,06,zero,0.0,0.0
7,07,zero,0.0,0.0
8,08,zero,0.0,5.551115123125783e-17
9,09,zero,0.0,0.0
10,10,zero,0.0,0.0
11,11,zero,1.1102230246251565e-16,0.0
12,12,zero,1.1102230246251565e-16,1.1102230246251565e-16
13,13,zero,0.0,5.551115123125783e-17
14,14,zero,0.0,5.551115123125783e-17
15,15,zero,5.551115123125783e-17,0.0
16,16,zero,0.0,0.0
17,17,zero,0.0,0.0
18,18,zero,0.0,0.0
19,19,zero,1.0408340855860843e-17,0.0
20,20,zero,0.0,0.0
