sample_index,sample_id,topk_local_overlap_jaccard,local_spearman_T,local_spearman_A,local_spearman_V,local_spearman_mean,main_modality_cls_missing,main_modality_cls_zero,main_modality_reg_missing,main_modality_reg_zero,top1_cls_agreement,top1_reg_agreement,shapley_spearman_cls,shapley_spearman_reg
1,01,0.25,0.8403874606406252,0.14973797487174878,0.17874206854518346,0.38962250135251913,T,T,T,T,True,True,0.5,0.5
2,02,0.5789473684210527,0.7918992214154492,0.8169189047327443,0.4459627329192546,0.6849269530224827,T,T,A,V,True,False,1.0,-1.0
3,03,0.4222222222222222,0.1494162202038573,0.7165114360704913,0.580058492688414,0.48199538298758754,T,T,V,A,True,False,0.5,-0.5
4,04,0.625,0.837436005329967,0.8895399063472645,0.5681915989024621,0.7650558368598978,T,T,T,T,True,True,1.0,1.0
5,05,0.8,0.6477946651246569,0.8582809224318657,0.8662092624356773,0.7907616166640666,T,V,V,T,False,False,-0.5,0.5
6,06,0.2641509433962264,0.5840397012431577,0.5899329913563137,0.07643034120489323,0.4168010112681216,T,T,T,T,True,True,1.0,0.5
7,07,0.42,0.6733053279160367,0.13628990640083222,0.6131870990728508,0.4742607777965732,T,T,T,T,True,True,1.0,1.0
8,08,0.896551724137931,0.7724039829302988,0.9043659043659042,0.9494474231316337,0.8754057701426122,T,T,T,T,True,True,0.5,1.0
9,09,0.42857142857142855,0.8200498602402357,-0.02959265730903941,-0.20266532848263097,0.19593062481618848,T,T,T,T,True,True,0.5,0.5
10,10,0.5102040816326531,0.9225300362915042,0.280992626052507,0.6685938513685376,0.6240388379041829,T,T,T,T,True,True,1.0,1.0
11,11,0.6111111111111112,0.5292196878751501,0.8169223753225101,0.2068187274909964,0.5176535968962188,T,T,T,T,True,True,1.0,1.0
12,12,0.24193548387096775,0.779459929810043,0.3902850384843418,0.0236413342886052,0.39779543419433,T,T,T,T,True,True,0.5,1.0
13,13,0.26666666666666666,0.6347676935832332,0.027014602871660756,0.0,0.22059409881829797,T,T,V,T,True,False,0.5,-0.5
14,14,0.2459016393442623,0.6268191761711203,0.7999695756071102,0.5727950381883898,0.6665279299888734,T,T,V,V,True,True,1.0,1.0
15,15,0.3695652173913043,0.3713585863004112,0.9020220286043071,0.48963254129217487,0.5876710520656311,T,T,T,T,True,True,1.0,1.0
16,16,0.8484848484848485,0.8229565597986651,0.0795709546561624,0.44368395182319836,0.4487371554260086,T,T,T,T,True,True,0.5,1.0
17,17,0.44,0.8573157179898753,0.48409987134792665,0.12362676948910589,0.4883474529423026,T,T,T,T,True,True,1.0,0.5
18,18,0.5555555555555556,0.5442471038113131,0.8235824245407675,0.728324879846299,0.6987181360661266,T,T,T,V,True,False,0.5,-0.5
19,19,0.28,0.5113301932240306,0.4027556902796235,-0.2577992701890889,0.2187622044381884,T,T,T,T,True,True,0.5,0.5
20,20,0.5098039215686274,0.696270168630468,0.405939315010614,0.9648159140126409,0.6890084658845743,T,T,T,T,True,True,0.5,0.5
