method,repeat,k_text,k_audio,k_vision,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta
top,0,11,5,8,1,01,missing,0.4763185679912567,0.1069683555454016,0.09267768263816833,0.04866851806640625
random,1,11,5,8,1,01,missing,0.5415971279144287,0.026054883377254034,0.027399122714996338,0.032244954101741316
random,2,11,5,8,1,01,missing,0.6038404107093811,-0.0007279233703389558,-0.034844160079956055,0.05902776084933431
random,3,11,5,8,1,01,missing,0.5569195747375488,0.05136251679956916,0.01207667589187622,0.006937320679426193
random,4,11,5,8,1,01,missing,0.5427598357200623,0.041983513259887716,0.026236414909362793,0.016316324219107635
random,5,11,5,8,1,01,missing,0.5810204148292542,0.0063950034637004355,-0.012024164199829102,0.051904834015294915
random,6,11,5,8,1,01,missing,0.554172158241272,0.039261375808715845,0.014824092388153076,0.019038461670279505
random,7,11,5,8,1,01,missing,0.6064856648445129,-0.019593934215512105,-0.03748941421508789,0.07789377169450745
random,8,11,5,8,1,01,missing,0.5926860570907593,0.019285974410921357,-0.02368980646133423,0.039013863068073994
random,9,11,5,8,1,01,missing,0.5549507141113281,0.041021138077229284,0.014045536518096924,0.017278699401766066
random,10,11,5,8,1,01,missing,0.5852420926094055,-0.030614550438150742,-0.01624584197998047,0.08891438791714609
random,11,11,5,8,1,01,missing,0.5732572078704834,0.008539717819169186,-0.00426095724105835,0.049760119659826164
random,12,11,5,8,1,01,missing,0.5579866170883179,0.06360113276690246,0.011009633541107178,0.005301295287907112
random,13,11,5,8,1,01,missing,0.5895387530326843,-0.02676970431525258,-0.020542502403259277,0.08506954179424793
random,14,11,5,8,1,01,missing,0.5938013792037964,0.025319356338679815,-0.024805128574371338,0.032980481140315536
random,15,11,5,8,1,01,missing,0.5828943252563477,0.01461915577724578,-0.013898074626922607,0.043680681701749574
random,16,11,5,8,1,01,missing,0.5972062945365906,0.0030363251190632795,-0.028210043907165527,0.05526351235993207
random,17,11,5,8,1,01,missing,0.559578537940979,-0.00813612429043276,0.009417712688446045,0.0664359617694281
random,18,11,5,8,1,01,missing,0.5615137815475464,0.06860821858197452,0.007482469081878662,0.010308381102979172
random,19,11,5,8,1,01,missing,0.5600774884223938,0.033942207229882504,0.00891876220703125,0.024357630249112847
random,20,11,5,8,1,01,missing,0.6077638268470764,0.021951054947078247,-0.03876757621765137,0.036348782531917104
random,21,11,5,8,1,01,missing,0.568681001663208,0.008119452137127541,0.000315248966217041,0.050180385341867806
random,22,11,5,8,1,01,missing,0.563251793384552,-0.006463316001836189,0.005744457244873047,0.06476315348083155
random,23,11,5,8,1,01,missing,0.5592713952064514,-0.05351813896223901,0.009724855422973633,0.11181797644123437
random,24,11,5,8,1,01,missing,0.5789636969566345,0.02590365687534215,-0.009967446327209473,0.0323961806036532
random,25,11,5,8,1,01,missing,0.5532363653182983,-0.016436452066432662,0.01575988531112671,0.07473628954542802
random,26,11,5,8,1,01,missing,0.6034942269325256,-0.03456594738773999,-0.034497976303100586,0.09286578486673534
random,27,11,5,8,1,01,missing,0.5574737787246704,0.02416244926452639,0.011522471904754639,0.03413738821446896
random,28,11,5,8,1,01,missing,0.5493637323379517,0.01784722651690247,0.01963251829147339,0.04045261096209288
random,29,11,5,8,1,01,missing,0.5880017280578613,0.00935223258994522,-0.01900547742843628,0.04894760488905013
random,30,11,5,8,1,01,missing,0.5928393006324768,-0.0695718751683831,-0.023843050003051758,0.12787171264737845
random,31,11,5,8,1,01,missing,0.5939497947692871,-0.04081345805376766,-0.02495354413986206,0.09911329553276302
random,32,11,5,8,1,01,missing,0.5987277626991272,-0.006702877258323112,-0.02973151206970215,0.06500271473731846
random,33,11,5,8,1,01,missing,0.5655356645584106,0.028229843033105155,0.0034605860710144043,0.030069994445890195
random,34,11,5,8,1,01,missing,0.5640140771865845,0.014384064102172873,0.004982173442840576,0.04391577337682248
random,35,11,5,8,1,01,missing,0.5755983591079712,0.03340465583801272,-0.006602108478546143,0.02489518164098263
random,36,11,5,8,1,01,missing,0.538925051689148,0.037402624038606905,0.0300711989402771,0.020897213440388446
random,37,11,5,8,1,01,missing,0.5594035983085632,0.002291861435025952,0.009592652320861816,0.0560079760439694
random,38,11,5,8,1,01,missing,0.5426243543624878,0.026571815872192407,0.026371896266937256,0.03172802160680294
random,39,11,5,8,1,01,missing,0.5724624991416931,-0.01581482005692085,-0.0034662485122680664,0.0741146575359162
random,40,11,5,8,1,01,missing,0.5773043632507324,-0.03832538351453839,-0.008308112621307373,0.09662522099353374
random,41,11,5,8,1,01,missing,0.5713403224945068,0.011507947830110811,-0.002344071865081787,0.04679188964888454
random,42,11,5,8,1,01,missing,0.5729400515556335,0.05029290522783997,-0.003943800926208496,0.008006932251155383
random,43,11,5,8,1,01,missing,0.5796627998352051,0.0041705490570515605,-0.01066654920578003,0.05412928842194379
random,44,11,5,8,1,01,missing,0.5942822694778442,-0.016965198135375954,-0.02528601884841919,0.07526503561437131
random,45,11,5,8,1,01,missing,0.586992621421814,-0.01202092697334008,-0.017996370792388916,0.07032076445233543
random,46,11,5,8,1,01,missing,0.5965526103973389,0.006458244705200216,-0.02755635976791382,0.05184159277379513
random,47,11,5,8,1,01,missing,0.5714420676231384,-0.0013703062286600266,-0.002445816993713379,0.059670143707655374
random,48,11,5,8,1,01,missing,0.5519696474075317,-0.034914119094982723,0.01702660322189331,0.09321395657397807
random,49,11,5,8,1,01,missing,0.5712805390357971,0.021309016128629468,-0.0022842884063720703,0.03699082135036588
random,50,11,5,8,1,01,missing,0.5687904357910156,0.044942121902108216,0.00020581483840942383,0.013357715576887134
top,0,9,10,8,2,02,missing,0.2896605134010315,-0.14158752970993518,0.10473248362541199,0.03959472656249999
random,1,9,10,8,2,02,missing,0.23375335335731506,-0.2929053951859474,0.16063964366912842,0.11172313891351221
random,2,9,10,8,2,02,missing,0.23236139118671417,-0.2761876217484474,0.1620316058397293,0.09500536547601224
random,3,9,10,8,2,02,missing,0.23428185284137726,-0.26688282341361047,0.16011114418506622,0.0857005671411753
random,4,9,10,8,2,02,missing,0.25417983531951904,-0.24725046501159667,0.14021316170692444,0.0660682087391615
random,5,9,10,8,2,02,missing,0.45565545558929443,-0.04540534648150204,-0.06126245856285095,0.13577690979093313
random,6,9,10,8,2,02,missing,0.37264692783355713,-0.09306199797093867,0.021746069192886353,0.0881202583014965
random,7,9,10,8,2,02,missing,0.30120915174484253,-0.28707614470124243,0.09318384528160095,0.10589388842880726
random,8,9,10,8,2,02,missing,0.21713079512119293,-0.3052897296607494,0.17726220190525055,0.12410747338831424
random,9,9,10,8,2,02,missing,0.4894943833351135,0.05778840290904047,-0.09510138630867004,0.23897065918147564
random,10,9,10,8,2,02,missing,0.2510964572429657,-0.26006375846862795,0.14329653978347778,0.07888150219619278
random,11,9,10,8,2,02,missing,0.5019893050193787,0.03477947273254397,-0.10759630799293518,0.21596172900497915
random,12,9,10,8,2,02,missing,0.2641392648220062,-0.2465685343503952,0.13025373220443726,0.06538627807796002
random,13,9,10,8,2,02,missing,0.15885967016220093,-0.3810036617875099,0.23553332686424255,0.1998214055150747
random,14,9,10,8,2,02,missing,0.4089469015598297,-0.034280327164009194,-0.01455390453338623,0.14690192910842598
random,15,9,10,8,2,02,missing,0.22165796160697937,-0.26978645280599595,0.1727350354194641,0.08860419653356078
random,16,9,10,8,2,02,missing,0.492868036031723,0.06432704011499885,-0.09847503900527954,0.24550929638743402
random,17,9,10,8,2,02,missing,0.2841840982437134,-0.2257483287811279,0.1102088987827301,0.04456607250869274
random,18,9,10,8,2,02,missing,0.44026604294776917,-0.024585120773315407,-0.045873045921325684,0.15659713549911977
random,19,9,10,8,2,02,missing,0.2698221802711487,-0.24176217985749243,0.1245708167552948,0.06057992358505726
random,20,9,10,8,2,02,missing,0.43389609456062317,-0.013889045333862284,-0.03950309753417969,0.16729321093857288
random,21,9,10,8,2,02,missing,0.33593446016311646,-0.18993159635961054,0.058458536863327026,0.008749340087175372
random,22,9,10,8,2,02,missing,0.29471245408058167,-0.16988675261139868,0.09968054294586182,0.011295503661036488
random,23,9,10,8,2,02,missing,0.3626842200756073,-0.11503707658350466,0.03170877695083618,0.06614517968893051
random,24,9,10,8,2,02,missing,0.2702091932296753,-0.25853494597077364,0.12418380379676819,0.07735268969833847
random,25,9,10,8,2,02,missing,0.5157793760299683,0.07492412605285646,-0.12138637900352478,0.25610638232529165
random,26,9,10,8,2,02,missing,0.44790032505989075,0.023972035782039186,-0.053507328033447266,0.20515429205447436
random,27,9,10,8,2,02,missing,0.4373667538166046,-0.041544859970360976,-0.04297375679016113,0.1396373963020742
random,28,9,10,8,2,02,missing,0.4486546814441681,-0.05722876841798423,-0.05426168441772461,0.12395348785445094
random,29,9,10,8,2,02,missing,0.22640223801136017,-0.34136492497324944,0.1679907590150833,0.16018266870081427
