modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score,rank,start_position,end_position,readable_evidence,start_s,end_s,representative_time_s,frame_path
A,4,17,20,18|19|20|21,1,01,missing,0.551807701587677,0.08935420552045109,0.017188549041748047,0.03105436804145574,0.017188549041748047,0.022364277048657337,0.09017695282552862,1,18,21,,6.56,7.52,7.039999999999999,
A,2,20,21,21|22,1,01,missing,0.5648611783981323,0.06839099348485472,0.004135072231292725,0.010091156005859372,0.004135072231292725,0.00581693156560262,0.023454957307111696,2,21,22,,7.33,8.14,7.735,
A,1,19,19,20,1,01,missing,0.5654019713401794,0.06789605940282348,0.0035942792892456055,0.009596221923828127,0.0035942792892456055,0.005193649609883627,0.020941767750588595,3,20,20,,7.14,7.33,7.234999999999999,
T,4,1,4,2|3|4|5,1,01,missing,0.5021103620529175,0.07126161518841984,0.06688588857650757,0.012961777709424485,0.06688588857650757,0.06904618486141165,0.06242944749208001,1,2,5,these wear components when,0.92,2.1,1.51,
T,4,4,7,5|6|7|8,1,01,missing,0.5339658856391907,0.04981996955871584,0.035030364990234375,0.008479867920279507,0.035030364990234375,0.03644367631028096,0.032951256918795815,2,5,8,when replacing the timing,1.86,2.94,2.4,
T,1,4,4,5,1,01,missing,0.5426196455955505,0.06095048847943546,0.02637660503387451,0.00265065100044011,0.02637660503387451,0.02681838020061453,0.024248358716957977,3,5,5,when,1.86,2.1,1.98,
T,1,20,20,22,1,01,missing,0.551311194896698,0.07291688667386773,0.01768505573272705,0.014617049194872375,0.01768505573272705,0.020121230598539114,0.018193000984035097,4,22,22,requirements,7.52,8.14,7.83,
T,4,7,10,8|9|10|11,1,01,missing,0.5520755052566528,0.041388216873258374,0.016920745372772217,0.016911620605736977,0.016920745372772217,0.019739348807061713,0.01784771515402041,5,8,11,timing belt is essential,2.72,4.08,3.4000000000000004,
V,1,12,12,13,1,01,missing,0.5642313361167908,0.06421704805046322,0.004764914512634277,0.005917210571467865,0.004764914512634277,0.005751116274545588,0.07195291165300634,1,13,13,,4.56,4.94,4.75,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank01.png
V,4,10,13,11|12|13|14,1,01,missing,0.5674905180931091,0.06695018806457521,0.001505732536315918,0.008650350585579863,0.001505732536315918,0.002947457633912562,0.03687599912951622,2,11,14,,3.68,5.2,4.44,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank02.png
V,4,17,20,18|19|20|21,1,01,missing,0.5898956656455994,0.0440567344516516,-0.020899415016174316,0.014243103027343752,0.0,0.002373850504557292,0.029699530921994996,3,18,21,,6.56,7.52,7.039999999999999,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank03.png
A,4,2,5,3|4|5|6,2,02,missing,0.3867909014225006,-0.16859994279444215,0.007602095603942871,0.012582313477993018,0.007602095603942871,0.009699147850275041,0.03710222134817762,1,3,6,,0.72,1.22,0.97,
A,3,0,2,1|2|3,2,02,missing,0.38663986325263977,-0.19133389616608618,0.007753133773803711,0.010151639893651004,0.007753133773803711,0.009445073756078878,0.03613030985376356,2,1,3,,0.0,0.8,0.4,
A,4,11,14,12|13|14|15,2,02,missing,0.38646864891052246,-0.17496808390915392,0.00792434811592102,0.006214172363281256,0.00792434811592102,0.00896004350980123,0.034274920098317764,3,12,15,,1.9,2.3000000000000003,2.1,
T,4,7,10,8|9|10|11,2,02,missing,0.2544865608215332,-0.31670621452331543,0.13990643620491028,0.13552395825088026,0.13990643620491028,0.162493762580057,0.052011113445240384,1,8,11,’ s happiness -,1.2933333333333332,1.9,1.5966666666666667,
T,1,9,9,10,2,02,missing,0.3047163784503937,-0.2780573727250099,0.0896766185760498,0.09687511645257474,0.0896766185760498,0.1058224713181456,0.03387172820293394,2,10,10,happiness,1.44,1.64,1.54,
T,1,18,18,19,2,02,missing,0.3250534236431122,-0.29420320085287094,0.0693395733833313,0.11302094458043577,0.0693395733833313,0.0881763974800706,0.02822356095218773,3,19,19,.,2.53,2.6,2.565,
T,3,1,3,2|3|4,2,02,missing,0.32353639602661133,-0.22253674845993518,0.07085660099983215,0.04135449218750001,0.07085660099983215,0.07774901636441549,0.024885957751105494,4,2,4,want to live,0.58,0.92,0.75,
T,1,17,17,18,2,02,missing,0.6104155778884888,0.1813294490516186,-0.2160225808620453,0.36251170532405375,0.0,0.06041861755400896,0.01933883197675322,5,18,18,misery,2.46,2.53,2.495,
V,4,0,3,1|2|3|4,2,02,missing,0.38301748037338257,-0.21404587126374244,0.011375516653060913,0.03286361499130727,0.011375516653060913,0.01685278581827879,0.05033296384167934,1,1,4,,0.0,0.92,0.46,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank01.png
V,4,6,9,7|8|9|10,2,02,missing,0.38199469447135925,-0.20213446574509142,0.012398302555084229,0.020952209472656247,0.012398302555084229,0.015890337467193604,0.04745849082712807,2,7,10,,1.22,1.64,1.43,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank02.png
V,1,2,2,3,2,02,missing,0.3896418809890747,-0.19523837614655493,0.004751116037368774,0.014056119874119755,0.004751116037368774,0.0070938026830554,0.021186533656588166,3,3,3,,0.72,0.8,0.76,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank03.png
A,4,20,23,21|22|23|24,3,03,missing,0.5286235213279724,-0.010006562927179018,0.009275257587432861,0.028801038620062176,0.009275257587432861,0.014075430690776557,0.042751548040142036,1,21,24,,4.78,6.1,5.4399999999999995,
A,4,15,18,16|17|18|19,3,03,missing,0.5322521924972534,-0.04779477891549466,0.0056465864181518555,0.008987177368253468,0.0056465864181518555,0.007144449312860767,0.0216999589376171,2,16,19,,3.21,4.62,3.915,
A,4,23,26,24|25|26|27,3,03,missing,0.5457738041877747,-0.0015101953580975314,-0.007875025272369385,0.037297406189143664,0.0,0.006216234364857277,0.018880675690593436,3,24,27,,5.7,6.96,6.33,
T,4,13,16,15|16|17|18|19,3,03,missing,0.44154760241508484,-0.13560433732569216,0.09635117650032043,0.09679673577845097,0.09635117650032043,0.11248396579672892,0.03075740879646148,1,15,19,bankwest who don ',2.86,4.62,3.74,
T,1,16,16,19,3,03,missing,0.44740623235702515,-0.12936815983653066,0.09049254655838013,0.09056055828928947,0.09049254655838013,0.10558597293992837,0.028871234312223517,2,19,19,',4.46,4.62,4.54,
T,3,24,26,27|28|29,3,03,missing,0.44544556736946106,-0.11742925797998903,0.09245321154594421,0.07862165643274784,0.09245321154594421,0.10555682095140219,0.02886326304607924,3,27,29,they take rental,6.87,7.8,7.335,
T,2,26,27,29|30,3,03,missing,0.4653119146823883,-0.08167576847821473,0.07258686423301697,0.042868166930973534,0.07258686423301697,0.07973155872151255,0.021801650823800794,4,29,30,rental yield,7.24,8.28,7.76,
T,4,16,19,19|20|21|22,3,03,missing,0.4840790629386902,-0.07670167692601679,0.05381971597671509,0.037894075378775594,0.05381971597671509,0.06013539520651102,0.016443311901412502,5,19,22,' t take rental,4.46,5.38,4.92,
V,4,15,18,16|17|18|19,3,03,missing,0.5153905153274536,-0.06654728135690091,0.02250826358795166,0.027739679809659717,0.02250826358795166,0.02713154355622828,0.03525738628820522,1,16,19,,3.21,4.62,3.915,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank01.png
V,4,18,21,19|20|21|22,3,03,missing,0.5178182721138,-0.05789418180882929,0.020080506801605225,0.019086580261588097,0.020080506801605225,0.023261603511869906,0.03022840698323621,2,19,22,,4.46,5.38,4.92,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank02.png
V,4,12,15,13|14|15|16,3,03,missing,0.5250251293182373,-0.051270316696166975,0.012873649597167969,0.01246271514892578,0.012873649597167969,0.014950768788655599,0.019428493973991625,3,13,16,,2.52,3.56,3.04,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank03.png
