sample_index,sample_id,predicted_class,predicted_class_id,prob_negative,prob_neutral,prob_positive,seed2026_raw_regression,seed2028_raw_regression,hybrid_raw_regression,hybrid_final_intensity,classification_entropy,seed2028_fusion_weight_text,seed2028_fusion_weight_audio,seed2028_fusion_weight_vision,content_length,phi_text_cls,phi_audio_cls,phi_vision_cls,abs_share_text_cls,abs_share_audio_cls,abs_share_vision_cls,phi_text_reg,phi_audio_reg,phi_vision_reg,abs_share_text_reg,abs_share_audio_reg,abs_share_vision_reg,main_modality_cls,main_modality_reg,top1_cls_agreement,top1_reg_agreement,topk_local_overlap_jaccard,local_spearman_mean,key_text,key_audio_intervals,key_visual_intervals,representative_frames
1,01,Neutral,1,0.1020154133439064,0.568996250629425,0.32898831367492676,0.0850830078125,0.0782470703125,0.07893066108226776,0.05829983747899535,0.9194571854515368,0.4783518314361572,0.2850331962108612,0.23661498725414276,24,0.2762341946363449,-0.06751741468906403,-0.08575758337974548,0.6431391907971843,0.15719666967736537,0.1996641395254503,0.2078961326411615,-0.1812485215359678,0.15021983005727332,0.38544646286130296,0.3360408904068643,0.2785126467318327,T,T,True,True,0.25,0.38962250135251913,these wear components when; when replacing the timing; when; requirements; timing belt is essential,6.560-7.520s; 7.330-8.140s; 7.140-7.330s,4.560-4.940s; 3.680-5.200s; 6.560-7.520s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank03.png
2,02,Positive,2,0.3210504651069641,0.28455650806427,0.3943929970264435,-0.161376953125,-0.189697265625,-0.18686522543430328,-0.18118225627243517,1.0893471714503968,0.6064669489860535,0.1822299212217331,0.21130302548408508,21,0.1930676152308782,0.02785000701745351,0.005642299850781758,0.8521702048715246,0.12292556759120851,0.024904227537266777,0.1622526894826442,-0.2416781422123313,0.01917548519931733,0.38347971420899574,0.571199560399641,0.04532072539136317,T,A,True,False,0.5789473684210527,0.6849269530224827,’ s happiness -; happiness; .; want to live; misery,0.720-1.220s; 0.000-0.800s; 1.900-2.300s,0.000-0.920s; 1.220-1.640s; 0.720-0.800s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank03.png
3,03,Neutral,1,0.3456019163131714,0.5378987789154053,0.11649929732084274,-0.147705078125,-0.0156402587890625,-0.02884674072265625,-0.038807601547241194,0.9511921205439935,0.48999324440956116,0.2626839280128479,0.24732279777526855,35,0.15166564782460532,-0.021920646230379738,0.05988276501496633,0.6496177627510105,0.09389101201548053,0.25649122523350903,0.01807798569959898,0.021623459234212834,0.24676501618822416,0.06310681407097662,0.07548338869938824,0.8614097972296351,T,V,True,False,0.4222222222222222,0.48199538298758754,bankwest who don '; '; they take rental; rental yield; ' t take rental,4.780-6.100s; 3.210-4.620s; 5.700-6.960s,3.210-4.620s; 4.460-5.380s; 2.520-3.560s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank03.png
4,04,Negative,0,0.5687344074249268,0.17176853120326996,0.25949710607528687,-0.115966796875,-0.032073974609375,-0.04046325385570526,-0.04927407988011835,0.973613402409361,0.4886244237422943,0.3366222381591797,0.1747533529996872,28,0.41973562290271116,-0.1949740226070086,-0.0889017234245936,0.5965446856528781,0.27710470753523414,0.12635060681188787,-0.9116786217093469,0.5924149906039238,0.43293624426424504,0.47065801211766894,0.3058367885204647,0.22350519936186636,T,T,True,True,0.625,0.7650558368598978,"] absolutely not .; goodbye ? ]; should i kiss my; "" goodbye; i blow it at",2.840-3.780s; 3.600-4.260s; 2.320-3.140s,0.540-1.160s; 0.940-1.080s; 0.000-0.660s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank03.png
5,05,Positive,2,0.05130337178707123,0.3638496696949005,0.5848469734191895,0.5087890625,0.5703125,0.5641601085662842,0.4954915696620942,0.8339431116637521,0.4904811382293701,0.26295390725135803,0.24656492471694946,17,0.1653863514463107,0.07639377812544504,0.16360400865475339,0.40797440218023723,0.18844787183745182,0.403577725982311,0.17524393714405598,0.04918234581127764,0.3569342400003225,0.30143762815732655,0.08459870230134128,0.6139636695413322,T,V,False,False,0.8,0.7907616166640666,"hi , my name; hi; marketer; ,; name",2.240-3.520s; 4.300-5.340s; 3.500-4.300s,0.840-2.240s; 2.100-2.660s; 2.580-4.100s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank03.png
6,06,Positive,2,0.07262269407510757,0.326985627412796,0.600391685962677,0.48583984375,0.52392578125,0.5201171636581421,0.4558088762998581,0.8622723548189523,0.5452538132667542,0.2526608407497406,0.20208528637886047,37,0.45138071229060495,-0.013685258726278942,-0.020732382933298744,0.9291524119426984,0.028170656847639974,0.04267693120966152,0.4508281144623955,0.288610716757675,0.04220504378279051,0.5767692025485971,0.3692355636467037,0.05399523380469913,T,T,True,True,0.2641509433962264,0.4168010112681216,"dance , see impressive; impressive dance moves then; ,; in that sense ,; like to watch people",5.940-6.380s; 6.660-7.580s; 0.000-0.647s,5.800-6.280s; 6.160-6.380s; 0.000-0.693s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank03.png
7,07,Positive,2,0.05577007681131363,0.32258427143096924,0.6216456890106201,0.80859375,0.67724609375,0.6903808116912842,0.6092164231777192,0.8214712432553807,0.4200923442840576,0.22294658422470093,0.3569610118865967,50,0.4737303430835406,-0.023632106681664784,0.05699981997410457,0.8545501181137622,0.04262935623807485,0.10282052564816299,1.0898521456345915,-0.10304343249648812,0.4207397790551186,0.6754017509476479,0.06385794165800364,0.26074030739434845,T,T,True,True,0.42,0.4742607777965732,attendees “ enthusiastically discussed; enthusiastically; topics of growing the; ways the leading; discussed the topics,11.720-12.627s; 0.720-0.900s; 14.220-15.340s,12.060-12.780s; 12.780-14.420s; 4.080-5.270s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank03.png
8,08,Positive,2,0.06158585473895073,0.2979269325733185,0.6404871940612793,0.325927734375,0.35693359375,0.35383298993110657,0.30598683577179914,0.8177752807755173,0.48471957445144653,0.27283528447151184,0.24244514107704163,13,0.4030749549468359,0.04656964292128881,0.02734155704577764,0.8450453976375737,0.09763311249504673,0.05732148986737967,0.4356011066287756,-0.09479637048393488,0.12439479535073045,0.6652508359482763,0.14477319673809627,0.18997596731362737,T,T,True,True,0.896551724137931,0.8754057701426122,"the universal design grand; that brings us to; grand challenge; to tonight , the; design",0.580-1.420s; 0.580-0.780s; 1.220-1.960s,1.420-2.360s; 0.780-1.740s; 1.960-4.160s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank03.png
9,09,Negative,0,0.9295943975448608,0.0393940806388855,0.031011488288640976,-2.23046875,-2.056640625,-2.0740232467651367,-1.8815116334915163,0.30298801161655947,0.6387637257575989,0.2004859894514084,0.16075031459331512,20,0.5593747446934382,0.0005536029736200969,0.0022575954596201577,0.9949995220129388,0.000984732863545385,0.004015745123515922,-1.993909467427681,0.06098733839889363,0.16306001792227226,0.8989847981159185,0.027497080982762902,0.07351812090131857,T,T,True,True,0.42857142857142855,0.19593062481618848,"uhh ) i did; would not recommend it; did not like this; ( uhh; movie at all ,",1.160-1.760s; 0.680-0.700s; 0.700-1.300s,2.980-3.820s; 2.840-3.140s; 0.680-0.700s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank03.png
10,10,Negative,0,0.91413414478302,0.04458821564912796,0.04127764329314232,-2.07421875,-1.98046875,-1.989843726158142,-1.805665885424614,0.35232095352504866,0.5641619563102722,0.20244188606739044,0.23339614272117615,32,0.5048432548840841,-0.04469395677248637,-0.03403056661287943,0.8650978921097724,0.07658743069232637,0.05831467719790134,-1.5582165206136804,0.15805810445298749,-0.056971504739175234,0.8787367384719984,0.08913489323125924,0.03212836829674241,T,T,True,True,0.5102040816326531,0.6240388379041829,one was pretty terrible; terrible; see fluffy chick flicks; flicks sometimes so i; that but this one,4.080-5.260s; 3.040-4.080s; 7.140-9.000s,2.000-2.820s; 2.680-3.800s; 5.180-5.520s,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank01.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank02.png; D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank03.png
